'Time','I','II','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'
'[12:26:37.160]',-,0.915,0.530,0.420,0.363,1.508,140.231
'[12:26:37.168]',-,0.960,0.480,0.485,0.352,1.624,135.249
'[12:26:37.176]',-,0.915,0.515,0.485,0.340,1.733,129.730
'[12:26:37.184]',-,0.935,0.500,0.495,0.330,1.834,124.113
'[12:26:37.192]',-,0.885,0.560,0.485,0.320,1.925,118.887
'[12:26:37.200]',-,0.915,0.530,0.490,0.311,1.997,114.735
'[12:26:37.208]',-,0.910,0.520,0.460,0.302,2.057,112.244
'[12:26:37.216]',-,0.975,0.450,0.485,0.294,2.117,111.316
'[12:26:37.224]',-,0.900,0.530,0.460,0.287,2.177,111.658
'[12:26:37.232]',-,0.940,0.495,0.495,0.280,2.236,112.635
'[12:26:37.240]',-,0.910,0.535,0.485,0.272,2.291,113.563
'[12:26:37.248]',-,0.975,0.450,0.490,0.267,2.345,114.100
'[12:26:37.256]',-,0.935,0.505,0.470,0.261,2.398,114.198
'[12:26:37.264]',-,0.955,0.475,0.485,0.256,2.449,113.807
'[12:26:37.272]',-,0.935,0.500,0.485,0.251,2.499,113.172
'[12:26:37.280]',-,0.910,0.535,0.490,0.247,2.547,112.537
'[12:26:37.288]',-,0.960,0.495,0.485,0.242,2.595,111.853
'[12:26:37.296]',-,0.930,0.525,0.455,0.239,2.631,111.218
'[12:26:37.304]',-,0.990,0.450,0.500,0.235,2.663,110.632
'[12:26:37.312]',-,0.915,0.520,0.465,0.231,2.700,109.948
'[12:26:37.320]',-,0.925,0.510,0.465,0.228,2.739,109.167
'[12:26:37.328]',-,0.935,0.515,0.460,0.224,2.778,108.287
'[12:26:37.336]',-,0.990,0.475,0.485,0.220,2.814,107.359
'[12:26:37.344]',-,0.965,0.500,0.475,0.216,2.845,106.431
'[12:26:37.352]',-,1.020,0.455,0.485,0.212,2.870,105.503
'[12:26:37.360]',-,0.985,0.485,0.440,0.208,2.891,104.624
'[12:26:37.368]',-,1.055,0.415,0.445,0.204,2.906,103.745
'[12:26:37.376]',-,1.105,0.360,0.430,0.200,2.915,102.915
'[12:26:37.384]',-,0.970,0.495,0.425,0.196,2.917,102.133
'[12:26:37.392]',-,0.990,0.480,0.490,0.191,2.912,101.303
'[12:26:37.400]',-,1.035,0.430,0.470,0.187,2.897,100.472
'[12:26:37.408]',-,0.945,0.495,0.460,0.182,2.876,99.691
'[12:26:37.416]',-,0.885,0.565,0.435,0.178,2.849,98.909
