'Time','II','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[14:59:44.876]',-0.126,0.490,0.400,-0.059,2.053,80.886
'[14:59:44.884]',-0.155,0.510,0.385,-0.061,2.016,80.495
'[14:59:44.892]',-0.171,0.525,0.375,-0.064,1.984,80.104
'[14:59:44.900]',-0.171,0.535,0.380,-0.066,1.959,79.762
'[14:59:44.908]',-0.166,0.515,0.375,-0.067,1.935,79.372
'[14:59:44.916]',-0.160,0.525,0.385,-0.069,1.913,78.981
'[14:59:44.924]',-0.150,0.510,0.390,-0.071,1.895,78.541
'[14:59:44.932]',-0.150,0.520,0.405,-0.073,1.882,78.199
'[14:59:44.940]',-0.145,0.500,0.405,-0.074,1.871,77.809
'[14:59:44.948]',-0.126,0.505,0.455,-0.076,1.862,77.467
'[14:59:44.956]',-0.010,0.410,0.590,-0.077,1.855,77.223
'[14:59:44.964]',0.330,0.220,0.645,-0.078,1.849,76.978
'[14:59:44.972]',0.825,-0.055,0.460,-0.079,1.843,76.734
'[14:59:44.980]',0.955,-0.075,0.095,-0.079,1.836,76.441
'[14:59:44.988]',-0.105,0.595,-0.265,-0.079,1.829,76.197
'[14:59:44.996]',-0.461,0.760,-0.310,-0.079,1.821,75.855
'[14:59:45.004]',-0.296,0.580,0.205,-0.079,1.811,75.562
'[14:59:45.012]',-0.160,0.495,0.425,-0.079,1.799,75.220
'[14:59:45.020]',-0.126,0.460,0.495,-0.078,1.784,74.927
'[14:59:45.028]',-0.115,0.475,0.530,-0.077,1.767,74.634
'[14:59:45.036]',-0.115,0.470,0.540,-0.076,1.750,74.438
'[14:59:45.044]',-0.115,0.480,0.535,-0.074,1.732,74.243
'[14:59:45.052]',-0.105,0.460,0.525,-0.072,1.714,74.048
'[14:59:45.060]',-0.105,0.465,0.525,-0.070,1.693,73.803
'[14:59:45.068]',-0.095,0.455,0.530,-0.067,1.671,73.608
'[14:59:45.076]',-0.091,0.460,0.525,-0.064,1.646,73.413
'[14:59:45.084]',-0.086,0.445,0.545,-0.060,1.622,73.217
'[14:59:45.092]',-0.080,0.440,0.540,-0.057,1.601,72.973
'[14:59:45.100]',-0.080,0.455,0.550,-0.053,1.583,72.778
'[14:59:45.108]',-0.070,0.440,0.555,-0.050,1.562,72.533
'[14:59:45.116]',-0.055,0.450,0.570,-0.048,1.542,72.387
'[14:59:45.124]',-0.046,0.430,0.575,-0.045,1.522,72.240
'[14:59:45.132]',-0.035,0.435,0.595,-0.042,1.502,72.045
'[14:59:45.140]',-0.015,0.410,0.595,-0.039,1.483,71.947
'[14:59:45.148]',-0.006,0.415,0.615,-0.036,1.464,71.752
'[14:59:45.156]',0.015,0.390,0.620,-0.033,1.447,71.557
'[14:59:45.164]',0.034,0.380,0.640,-0.030,1.430,71.312
'[14:59:45.172]',0.060,0.355,0.650,-0.027,1.413,70.970
'[14:59:45.180]',0.085,0.360,0.685,-0.024,1.397,70.629
'[14:59:45.188]',0.120,0.320,0.700,-0.022,1.384,70.238
'[14:59:45.196]',0.155,0.300,0.735,-0.019,1.373,69.798
'[14:59:45.204]',0.195,0.265,0.765,-0.017,1.361,69.407
'[14:59:45.212]',0.235,0.250,0.800,-0.014,1.347,69.114
'[14:59:45.220]',0.275,0.210,0.830,-0.011,1.333,68.968
'[14:59:45.228]',0.320,0.195,0.860,-0.009,1.320,69.359
'[14:59:45.236]',0.360,0.160,0.885,-0.006,1.306,70.726
'[14:59:45.244]',0.385,0.155,0.900,-0.004,1.293,73.657
'[14:59:45.252]',0.400,0.140,0.905,-0.002,1.282,78.492
'[14:59:45.260]',0.395,0.155,0.885,0.000,1.270,85.038
'[14:59:45.268]',0.380,0.165,0.850,0.001,1.259,92.413
'[14:59:45.276]',0.330,0.205,0.785,0.002,1.248,99.691
'[14:59:45.284]',0.255,0.250,0.715,0.001,1.239,106.431
'[14:59:45.292]',0.145,0.325,0.625,0.000,1.232,112.537
'[14:59:45.300]',0.034,0.395,0.535,-0.003,1.227,118.203
'[14:59:45.308]',-0.070,0.455,0.460,-0.006,1.187,123.136
'[14:59:45.316]',-0.145,0.505,0.410,-0.010,1.130,126.995
'[14:59:45.324]',-0.206,0.540,0.370,-0.014,1.100,129.486
'[14:59:45.332]',-0.235,0.565,0.355,-0.019,1.081,130.609
'[14:59:45.340]',-0.251,0.570,0.335,-0.024,1.069,130.511
'[14:59:45.348]',-0.256,0.580,0.335,-0.031,1.061,129.486
'[14:59:45.356]',-0.251,0.565,0.330,-0.037,1.053,127.727
'[14:59:45.364]',-0.246,0.575,0.340,-0.045,1.046,125.578
'[14:59:45.372]',-0.240,0.560,0.335,-0.053,1.039,123.038
'[14:59:45.380]',-0.220,0.555,0.350,-0.061,1.033,120.303
'[14:59:45.388]',-0.216,0.535,0.350,-0.068,1.030,117.568
'[14:59:45.396]',-0.206,0.545,0.360,-0.076,1.029,114.735
'[14:59:45.404]',-0.200,0.530,0.360,-0.083,1.026,112.000
'[14:59:45.412]',-0.200,0.540,0.365,-0.089,1.022,109.313
'[14:59:45.420]',-0.190,0.530,0.360,-0.095,1.019,106.871
'[14:59:45.428]',-0.185,0.530,0.365,-0.099,1.015,104.722
'[14:59:45.436]',-0.185,0.520,0.360,-0.102,1.011,103.012
'[14:59:45.444]',-0.185,0.530,0.360,-0.104,1.005,101.547
'[14:59:45.452]',-0.180,0.525,0.365,-0.106,0.998,100.423
'[14:59:45.460]',-0.185,0.530,0.360,-0.107,0.991,99.495
'[14:59:45.468]',-0.190,0.530,0.365,-0.107,0.982,98.763
'[14:59:45.476]',-0.190,0.530,0.355,-0.106,0.974,98.030
'[14:59:45.484]',-0.190,0.535,0.360,-0.104,0.969,97.346
'[14:59:45.492]',-0.200,0.530,0.350,-0.102,0.971,96.467
'[14:59:45.500]',-0.200,0.545,0.360,-0.100,0.983,95.344
'[14:59:45.508]',-0.200,0.530,0.350,-0.095,1.012,94.074
'[14:59:45.516]',-0.195,0.545,0.360,-0.091,1.063,92.657
'[14:59:45.524]',-0.200,0.530,0.355,-0.085,1.140,91.436
'[14:59:45.532]',-0.200,0.545,0.360,-0.080,1.246,90.606
'[14:59:45.540]',-0.195,0.530,0.355,-0.074,1.381,90.166
'[14:59:45.548]',-0.200,0.545,0.360,-0.068,1.541,89.971
'[14:59:45.556]',-0.195,0.530,0.355,-0.063,1.716,89.873
'[14:59:45.564]',-0.195,0.540,0.360,-0.057,1.897,89.824
'[14:59:45.572]',-0.195,0.530,0.360,-0.052,2.075,89.727
'[14:59:45.580]',-0.200,0.540,0.365,-0.048,2.241,89.873
'[14:59:45.588]',-0.185,0.530,0.360,-0.045,2.372,90.117
'[14:59:45.596]',-0.185,0.540,0.370,-0.041,2.475,90.508
'[14:59:45.604]',-0.180,0.525,0.365,-0.039,2.569,90.850
'[14:59:45.612]',-0.185,0.535,0.375,-0.037,2.645,91.241
'[14:59:45.620]',-0.175,0.525,0.380,-0.036,2.699,91.534
'[14:59:45.628]',-0.175,0.530,0.375,-0.034,2.731,91.778
'[14:59:45.636]',-0.175,0.515,0.385,-0.034,2.742,92.071
'[14:59:45.644]',-0.175,0.530,0.380,-0.033,2.735,92.169
'[14:59:45.652]',-0.175,0.515,0.385,-0.033,2.714,92.218
'[14:59:45.660]',-0.175,0.530,0.380,-0.033,2.680,92.120
'[14:59:45.668]',-0.171,0.525,0.390,-0.035,2.638,91.876
'[14:59:45.676]',-0.175,0.520,0.385,-0.036,2.590,91.436
'[14:59:45.684]',-0.166,0.530,0.390,-0.039,2.540,90.850
'[14:59:45.692]',-0.175,0.520,0.385,-0.042,2.490,90.313
'[14:59:45.700]',-0.171,0.535,0.390,-0.045,2.442,89.629
'[14:59:45.708]',-0.166,0.520,0.390,-0.049,2.393,88.847
'[14:59:45.716]',-0.160,0.525,0.395,-0.052,2.343,88.115
