'Time','II','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[14:53:31.424]',0.020,0.816,0.555,0.431,0.321,49.283
'[14:53:31.432]',0.035,0.812,0.575,0.440,0.315,48.892
'[14:53:31.440]',0.031,0.816,0.580,0.449,0.309,48.501
'[14:53:31.448]',0.041,0.800,0.580,0.457,0.303,48.305
'[14:53:31.456]',0.031,0.822,0.596,0.465,0.298,48.110
'[14:53:31.464]',0.045,0.800,0.596,0.474,0.294,47.914
'[14:53:31.472]',0.045,0.812,0.584,0.482,0.291,47.914
'[14:53:31.480]',0.035,0.800,0.575,0.491,0.287,47.914
'[14:53:31.488]',0.025,0.806,0.555,0.500,0.283,47.718
'[14:53:31.496]',0.016,0.812,0.555,0.508,0.279,47.718
'[14:53:31.504]',0.016,0.816,0.551,0.516,0.275,47.523
'[14:53:31.512]',0.031,0.806,0.555,0.524,0.271,47.523
'[14:53:31.520]',0.020,0.816,0.555,0.532,0.267,47.914
'[14:53:31.528]',0.041,0.800,0.555,0.540,0.264,49.087
'[14:53:31.536]',0.055,0.796,0.571,0.548,0.260,52.216
'[14:53:31.544]',0.051,0.796,0.580,0.556,0.256,59.257
'[14:53:31.552]',0.061,0.790,0.575,0.565,0.252,70.209
'[14:53:31.560]',0.064,0.786,0.584,0.574,0.248,82.725
'[14:53:31.568]',0.076,0.790,0.590,0.586,0.246,93.872
'[14:53:31.576]',0.070,0.790,0.610,0.596,0.244,102.868
'[14:53:31.584]',0.086,0.776,0.629,0.610,0.241,110.887
'[14:53:31.592]',0.111,0.771,0.651,0.623,0.239,118.514
'[14:53:31.600]',0.125,0.771,0.671,0.632,0.237,125.750
'[14:53:31.608]',0.135,0.751,0.686,0.642,0.235,132.203
'[14:53:31.616]',0.160,0.735,0.706,0.649,0.233,137.875
'[14:53:31.624]',0.201,0.710,0.725,0.656,0.231,142.764
'[14:53:31.632]',0.221,0.696,0.755,0.659,0.228,146.675
'[14:53:31.640]',0.260,0.671,0.767,0.662,0.226,149.609
'[14:53:31.648]',0.291,0.651,0.735,0.663,0.224,151.760
'[14:53:31.656]',0.285,0.641,0.690,0.664,0.221,153.325
'[14:53:31.664]',0.324,0.629,0.635,0.665,0.219,154.498
'[14:53:31.672]',0.320,0.620,0.565,0.666,0.219,155.476
'[14:53:31.680]',0.279,0.641,0.494,0.667,0.219,156.063
'[14:53:31.688]',0.275,0.651,0.410,0.668,0.218,156.649
'[14:53:31.696]',0.279,0.641,0.359,0.672,0.216,157.041
'[14:53:31.704]',0.256,0.655,0.324,0.674,0.214,156.845
'[14:53:31.712]',0.266,0.651,0.300,0.680,0.213,156.258
'[14:53:31.720]',0.240,0.661,0.284,0.685,0.211,155.476
'[14:53:31.728]',0.240,0.671,0.269,0.691,0.209,154.303
'[14:53:31.736]',0.234,0.676,0.269,0.698,0.207,152.738
'[14:53:31.744]',0.230,0.676,0.269,0.704,0.206,150.782
'[14:53:31.752]',0.230,0.680,0.275,0.711,0.206,148.436
'[14:53:31.760]',0.234,0.676,0.269,0.717,0.206,145.502
'[14:53:31.768]',0.225,0.676,0.275,0.724,0.209,142.177
'[14:53:31.776]',0.215,0.686,0.290,0.731,0.214,138.266
'[14:53:31.784]',0.211,0.690,0.284,0.737,0.222,133.768
'[14:53:31.792]',0.211,0.700,0.294,0.744,0.234,128.683
'[14:53:31.800]',0.195,0.690,0.304,0.751,0.249,123.207
'[14:53:31.808]',0.205,0.696,0.320,0.757,0.271,117.145
'[14:53:31.816]',0.211,0.686,0.320,0.763,0.296,111.082
'[14:53:31.824]',0.211,0.700,0.335,0.769,0.326,105.802
'[14:53:31.832]',0.205,0.686,0.329,0.775,0.358,102.086
'[14:53:31.840]',0.211,0.680,0.345,0.780,0.391,100.326
'[14:53:31.848]',0.211,0.690,0.345,0.786,0.425,99.935
'[14:53:31.856]',0.225,0.686,0.349,0.791,0.457,99.153
'[14:53:31.864]',0.221,0.686,0.355,0.796,0.489,97.001
'[14:53:31.872]',0.230,0.676,0.359,0.801,0.518,93.872
'[14:53:31.880]',0.246,0.676,0.355,0.805,0.542,91.330
'[14:53:31.888]',0.234,0.680,0.329,0.810,0.561,89.570
'[14:53:31.896]',0.246,0.676,0.310,0.816,0.581,88.005
