"'Time','II','AVR','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'"
"'[14:18:29.566]',0.220,0.555,0.860,0.444,-,-"
"'[14:18:29.574]',0.230,0.545,0.855,0.443,-,-"
"'[14:18:29.582]',0.235,0.540,0.860,0.442,-,-"
"'[14:18:29.590]',0.240,0.540,0.855,0.440,-,-"
"'[14:18:29.598]',0.225,0.550,0.860,0.438,-,-"
"'[14:18:29.606]',0.230,0.550,0.865,0.435,-,-"
"'[14:18:29.614]',0.225,0.545,0.860,0.431,-,-"
"'[14:18:29.622]',0.220,0.550,0.855,0.428,-,-"
"'[14:18:29.630]',0.225,0.555,0.855,0.424,-,-"
"'[14:18:29.638]',0.210,0.560,0.855,0.420,-,-"
"'[14:18:29.646]',0.225,0.545,0.850,0.416,-,-"
"'[14:18:29.654]',0.215,0.550,0.835,0.412,-,-"
"'[14:18:29.662]',0.210,0.555,0.835,0.408,-,-"
"'[14:18:29.670]',0.200,0.560,0.825,0.404,-,-"
"'[14:18:29.678]',0.195,0.565,0.815,0.401,-,-"
"'[14:18:29.686]',0.175,0.575,0.810,0.398,-,-"
"'[14:18:29.694]',0.190,0.555,0.805,0.396,-,-"
"'[14:18:29.702]',0.175,0.570,0.800,0.395,-,-"
"'[14:18:29.710]',0.190,0.560,0.795,0.394,-,-"
"'[14:18:29.718]',0.175,0.575,0.785,0.393,-,-"
"'[14:18:29.726]',0.175,0.575,0.785,0.392,-,-"
"'[14:18:29.734]',0.175,0.575,0.775,0.391,-,-"
"'[14:18:29.742]',0.165,0.575,0.770,0.390,-,-"
"'[14:18:29.750]',0.160,0.580,0.770,0.391,-,-"
"'[14:18:29.758]',0.170,0.575,0.770,0.392,-,-"
"'[14:18:29.766]',0.160,0.585,0.765,0.395,-,-"
"'[14:18:29.774]',0.160,0.575,0.765,0.397,-,-"
"'[14:18:29.782]',0.165,0.575,0.760,0.400,-,-"
"'[14:18:29.790]',0.160,0.575,0.760,0.403,-,-"
"'[14:18:29.798]',0.165,0.580,0.760,0.406,-,-"
"'[14:18:29.806]',0.150,0.590,0.760,0.409,-,-"
"'[14:18:29.814]',0.165,0.585,0.755,0.412,-,-"
"'[14:18:29.822]',0.155,0.590,0.750,0.415,-,-"
"'[14:18:29.830]',0.160,0.580,0.750,0.418,-,-"
"'[14:18:29.838]',0.165,0.585,0.745,0.421,-,-"
"'[14:18:29.846]',0.170,0.575,0.745,0.423,-,-"
"'[14:18:29.854]',0.165,0.575,0.745,0.425,-,-"
"'[14:18:29.862]',0.175,0.575,0.750,0.426,-,-"
"'[14:18:29.870]',0.170,0.585,0.745,0.428,-,-"
"'[14:18:29.878]',0.165,0.580,0.745,0.429,-,-"
"'[14:18:29.886]',0.170,0.575,0.745,0.430,-,-"
"'[14:18:29.894]',0.170,0.575,0.750,0.431,-,-"
"'[14:18:29.902]',0.160,0.580,0.745,0.431,-,-"
"'[14:18:29.910]',0.170,0.570,0.740,0.432,-,-"
"'[14:18:29.918]',0.170,0.575,0.745,0.433,-,-"
"'[14:18:29.926]',0.175,0.575,0.755,0.435,-,-"
"'[14:18:29.934]',0.190,0.565,0.770,0.436,-,-"
"'[14:18:29.942]',0.230,0.535,0.800,0.437,-,-"
"'[14:18:29.950]',0.230,0.540,0.800,0.439,-,-"
"'[14:18:29.958]',0.255,0.505,0.810,0.440,-,-"
"'[14:18:29.966]',0.265,0.505,0.810,0.442,-,-"
"'[14:18:29.974]',0.275,0.495,0.805,0.444,-,-"
"'[14:18:29.982]',0.270,0.490,0.800,0.446,-,-"
"'[14:18:29.990]',0.245,0.510,0.780,0.449,-,-"
"'[14:18:29.998]',0.205,0.545,0.770,0.452,-,-"
"'[14:18:30.006]',0.170,0.570,0.735,0.456,-,-"
"'[14:18:30.014]',0.140,0.595,0.735,0.459,-,-"
"'[14:18:30.022]',0.135,0.595,0.730,0.464,-,-"
"'[14:18:30.030]',0.140,0.595,0.725,0.468,-,-"
"'[14:18:30.038]',0.135,0.595,0.725,0.473,-,-"
"'[14:18:30.046]',0.145,0.590,0.720,0.477,-,-"
"'[14:18:30.054]',0.135,0.595,0.720,0.482,-,-"
"'[14:18:30.062]',0.110,0.600,0.805,0.486,-,-"
"'[14:18:30.070]',0.085,0.565,1.040,0.492,-,-"
"'[14:18:30.078]',0.440,0.345,1.230,0.497,-,-"
"'[14:18:30.086]',1.060,0.090,0.095,0.504,-,-"
"'[14:18:30.094]',1.080,0.280,-0.425,0.510,-,-"
"'[14:18:30.102]',0.020,0.745,-0.500,0.517,-,-"
"'[14:18:30.110]',-0.175,0.845,-0.150,0.523,-,-"
"'[14:18:30.118]',0.050,0.660,0.495,0.530,-,-"
"'[14:18:30.126]',0.130,0.595,0.725,0.536,-,-"
"'[14:18:30.134]',0.120,0.605,0.780,0.542,-,-"
"'[14:18:30.142]',0.130,0.600,0.790,0.548,-,-"
"'[14:18:30.150]',0.110,0.610,0.805,0.554,-,-"
"'[14:18:30.158]',0.130,0.595,0.805,0.559,-,-"
"'[14:18:30.166]',0.125,0.605,0.805,0.565,-,-"
"'[14:18:30.174]',0.135,0.590,0.810,0.570,-,-"
"'[14:18:30.182]',0.135,0.595,0.815,0.575,-,-"
"'[14:18:30.190]',0.150,0.590,0.810,0.580,-,-"
"'[14:18:30.198]',0.130,0.595,0.815,0.584,-,-"
"'[14:18:30.206]',0.145,0.585,0.810,0.589,-,-"
"'[14:18:30.214]',0.155,0.580,0.810,0.592,-,-"
"'[14:18:30.222]',0.160,0.575,0.805,0.596,-,-"
"'[14:18:30.230]',0.165,0.575,0.815,0.600,-,-"
"'[14:18:30.238]',0.155,0.580,0.805,0.604,-,-"
