'Time','II','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[16:16:26.664]',0.115,-0.500,-0.500,-0.000,1.256,148.017
'[16:16:26.672]',0.105,-0.500,-0.500,-0.000,1.256,148.017
'[16:16:26.680]',0.095,-0.500,-0.500,-0.000,1.256,148.017
'[16:16:26.688]',0.080,-0.500,-0.500,-0.000,1.260,147.704
'[16:16:26.696]',0.075,-0.500,-0.500,-0.000,1.265,145.555
'[16:16:26.704]',0.080,-0.500,-0.500,-0.000,1.268,143.054
'[16:16:26.712]',0.090,-0.500,-0.500,-0.000,1.269,140.358
'[16:16:26.720]',0.095,-0.500,-0.500,-0.000,1.270,137.623
'[16:16:26.728]',0.105,-0.500,-0.500,-0.000,1.270,134.731
'[16:16:26.736]',0.110,-0.500,-0.500,-0.000,1.268,131.801
'[16:16:26.744]',0.115,-0.500,-0.500,-0.000,1.265,128.948
'[16:16:26.752]',0.125,-0.500,-0.500,-0.000,1.261,125.939
'[16:16:26.760]',0.135,-0.500,-0.500,-0.000,1.256,122.852
'[16:16:26.768]',0.150,-0.500,-0.500,-0.000,1.250,119.687
'[16:16:26.776]',0.140,-0.500,-0.500,-0.000,1.245,116.249
'[16:16:26.784]',0.150,-0.500,-0.500,-0.000,1.244,112.615
'[16:16:26.792]',0.165,-0.500,-0.500,-0.000,1.248,108.746
'[16:16:26.800]',0.160,-0.500,-0.500,-0.000,1.255,104.682
'[16:16:26.808]',0.130,-0.500,-0.500,-0.000,1.269,100.619
'[16:16:26.816]',0.100,-0.500,-0.500,-0.000,1.293,96.555
'[16:16:26.824]',0.080,-0.500,-0.500,-0.000,1.329,92.725
'[16:16:26.832]',0.080,-0.500,-0.500,-0.000,1.378,89.170
'[16:16:26.840]',0.075,-0.500,-0.500,-0.000,1.440,86.004
'[16:16:26.848]',0.080,-0.500,-0.500,-0.000,1.510,83.191
'[16:16:26.856]',0.085,-0.500,-0.500,-0.000,1.587,80.807
'[16:16:26.864]',0.100,-0.500,-0.500,-0.000,1.666,78.854
'[16:16:26.872]',0.105,-0.500,-0.500,-0.000,1.745,77.369
'[16:16:26.880]',0.130,-0.500,-0.500,-0.000,1.820,76.314
'[16:16:26.888]',0.205,-0.500,-0.500,-0.000,1.883,75.571
'[16:16:26.896]',0.410,-0.500,-0.500,-0.000,1.953,75.102
'[16:16:26.904]',0.635,-0.500,-0.500,-0.000,2.030,74.985
'[16:16:26.912]',0.800,-0.500,-0.500,-0.000,2.091,75.063
'[16:16:26.920]',1.005,-0.500,-0.500,-0.000,2.140,75.298
'[16:16:26.928]',0.915,-0.500,-0.500,-0.000,2.179,75.610
'[16:16:26.936]',0.490,-0.500,-0.500,-0.000,2.210,75.923
'[16:16:26.944]',0.055,-0.500,-0.500,-0.000,2.234,76.314
'[16:16:26.952]',-0.060,-0.500,-0.500,-0.000,2.250,76.626
'[16:16:26.960]',-0.055,-0.500,-0.500,-0.000,2.261,76.939
'[16:16:26.968]',-0.030,-0.500,-0.500,-0.000,2.268,77.134
'[16:16:26.976]',-0.025,-0.500,-0.500,-0.000,2.271,77.173
