"'Time','II','AVR','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'"
"'[10:02:56.456]',-,-,-,-,-,-"
"'[10:02:56.464]',-,-,-,-,-,-"
"'[10:02:56.472]',-,-,-,-,-,-"
"'[10:02:56.480]',-,-,-,-,-,-"
"'[10:02:56.488]',-,-,-,-,-,-"
"'[10:02:56.496]',-,-,-,-,-,-"
"'[10:02:56.504]',-,-,-,-,-,-"
"'[10:02:56.512]',-,-,-,-,-,-"
"'[10:02:56.520]',-,-,-,-,-,-"
"'[10:02:56.528]',-,-,-,-,-,-"
"'[10:02:56.536]',-,-,-,-,-,-"
"'[10:02:56.544]',-,-,-,-,-,-"
"'[10:02:56.552]',-,-,-,-,-,-"
"'[10:02:56.560]',-,-,-,-,-,-"
"'[10:02:56.568]',-,-,-,-,-,-"
"'[10:02:56.576]',-,-,-,-,-,-"
"'[10:02:56.584]',-,-,-,-,-,-"
"'[10:02:56.592]',-,-,-,-,-,-"
"'[10:02:56.600]',-,-,-,-,-,-"
"'[10:02:56.608]',-,-,-,-,-,-"
"'[10:02:56.616]',-,-,-,-,-,-"
"'[10:02:56.624]',-,-,-,-,-,-"
"'[10:02:56.632]',-,-,-,-,-,-"
"'[10:02:56.640]',-,-,-,-,-,-"
"'[10:02:56.648]',-,-,-,-,-,-"
"'[10:02:56.656]',-,-,-,-,-,-"
"'[10:02:56.664]',-,-,-,-,-,-"
"'[10:02:56.672]',-,-,-,-,-,-"
"'[10:02:56.680]',-,-,-,-,-,-"
"'[10:02:56.688]',-,-,-,-,-,-"
"'[10:02:56.696]',-,-,-,-,-,-"
"'[10:02:56.704]',-,-,-,-,-,-"
"'[10:02:56.712]',-,-,-,-,-,-"
"'[10:02:56.720]',-,-,-,-,-,-"
"'[10:02:56.728]',-,-,-,-,-,-"
"'[10:02:56.736]',-,-,-,-,-,-"
"'[10:02:56.744]',-,-,-,-,-,-"
"'[10:02:56.752]',-,-,-,-,-,-"
"'[10:02:56.760]',-,-,-,-,-,-"
"'[10:02:56.768]',-,-,-,-,-,-"
"'[10:02:56.776]',-,-,-,-,-,-"
"'[10:02:56.784]',-,-,-,-,-,-"
"'[10:02:56.792]',-,-,-,-,-,-"
"'[10:02:56.800]',-,-,-,-,-,-"
"'[10:02:56.808]',-,-,-,-,-,-"
"'[10:02:56.816]',-,-,-,-,-,-"
"'[10:02:56.824]',-,-,-,-,-,-"
"'[10:02:56.832]',-,-,-,-,-,-"
"'[10:02:56.840]',-,-,-,-,-,-"
"'[10:02:56.848]',-,-,-,-,-,-"
"'[10:02:56.856]',-,-,-,-,-,-"
"'[10:02:56.864]',-,-,-,-,-,-"
"'[10:02:56.872]',-,-,-,-,-,-"
"'[10:02:56.880]',-,-,-,-,-,-"
"'[10:02:56.888]',-,-,-,-,-,-"
"'[10:02:56.896]',-,-,-,-,-,-"
"'[10:02:56.904]',-,-,-,-,-,-"
"'[10:02:56.912]',-,-,-,-,-,-"
"'[10:02:56.920]',-,-,-,-,-,-"
"'[10:02:56.928]',-,-,-,-,-,-"
"'[10:02:56.936]',-,-,-,-,-,-"
"'[10:02:56.944]',-,-,-,-,-,-"
"'[10:02:56.952]',-,-,-,-,-,-"
"'[10:02:56.960]',-,-,-,-,-,-"
"'[10:02:56.968]',-,-,-,-,-,-"
"'[10:02:56.976]',-,-,-,-,-,-"
"'[10:02:56.984]',-,-,-,-,-,-"
"'[10:02:56.992]',-,-,-,-,-,-"
"'[10:02:57.000]',-,-,-,-,-,-"
"'[10:02:57.008]',-,-,-,-,-,-"
"'[10:02:57.016]',-,-,-,-,-,-"
"'[10:02:57.024]',-,-,-,-,-,-"
"'[10:02:57.032]',-,-,-,-,-,-"
"'[10:02:57.040]',-,-,-,-,-,-"
"'[10:02:57.048]',-,-,-,-,-,-"
"'[10:02:57.056]',-,-,-,-,-,-"
"'[10:02:57.064]',-,-,-,-,-,-"
"'[10:02:57.072]',-,-,-,-,-,-"
"'[10:02:57.080]',-,-,-,-,-,-"
"'[10:02:57.088]',-,-,-,-,-,-"
"'[10:02:57.096]',-,-,-,-,-,-"
"'[10:02:57.104]',-,-,-,-,-,-"
"'[10:02:57.112]',-,-,-,-,-,-"
"'[10:02:57.120]',-,-,-,-,-,-"
"'[10:02:57.128]',-,-,-,-,-,-"
"'[10:02:57.136]',-,-,-,-,-,-"
"'[10:02:57.144]',-,-,-,-,-,-"
"'[10:02:57.152]',-,-,-,-,-,-"
"'[10:02:57.160]',-,-,-,-,-,-"
"'[10:02:57.168]',-,-,-,-,-,-"
"'[10:02:57.176]',-,-,-,-,-,-"
"'[10:02:57.184]',-,-,-,-,-,-"
"'[10:02:57.192]',-,-,-,-,-,-"
"'[10:02:57.200]',-,-,-,-,-,-"
"'[10:02:57.208]',-,-,-,-,-,-"
"'[10:02:57.216]',-,-,-,-,-,-"
"'[10:02:57.224]',-,-,-,-,-,-"
"'[10:02:57.232]',-,-,-,-,-,-"
"'[10:02:57.240]',-,-,-,-,-,-"
"'[10:02:57.248]',-,-,-,-,-,-"
"'[10:02:57.256]',-,-,-,-,-,-"
"'[10:02:57.264]',-,-,-,-,-,-"
"'[10:02:57.272]',-,-,-,-,-,-"
"'[10:02:57.280]',-,-,-,-,-,-"
"'[10:02:57.288]',-,-,-,-,-,-"
"'[10:02:57.296]',-,-,-,-,-,-"
"'[10:02:57.304]',-,-,-,-,-,-"
"'[10:02:57.312]',-,-,-,-,-,-"
"'[10:02:57.320]',-,-,-,-,-,-"
"'[10:02:57.328]',-,-,-,-,-,-"
"'[10:02:57.336]',-,-,-,-,-,-"
"'[10:02:57.344]',-,-,-,-,-,-"
"'[10:02:57.352]',-,-,-,-,-,-"
"'[10:02:57.360]',-,-,-,-,-,-"
"'[10:02:57.368]',-,-,-,-,-,-"
"'[10:02:57.376]',-,-,-,-,-,-"
"'[10:02:57.384]',-,-,-,-,-,-"
"'[10:02:57.392]',-,-,-,-,-,-"
"'[10:02:57.400]',-,-,-,-,-,-"
"'[10:02:57.408]',-,-,-,-,-,-"
"'[10:02:57.416]',-,-,-,-,-,-"
"'[10:02:57.424]',-,-,-,-,-,-"
"'[10:02:57.432]',-,-,-,-,-,-"
