'Time','II','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[23:14:37.715]',0.425,0.575,-0.225,0.795,1.775,65.353
'[23:14:37.723]',0.340,0.640,-0.350,0.792,1.734,64.943
'[23:14:37.731]',0.305,0.645,-0.060,0.789,1.697,64.474
'[23:14:37.739]',0.325,0.590,0.265,0.786,1.663,64.064
'[23:14:37.747]',0.245,0.610,0.460,0.784,1.632,63.654
'[23:14:37.755]',0.210,0.615,0.535,0.781,1.604,63.419
'[23:14:37.763]',0.195,0.630,0.570,0.779,1.579,63.302
'[23:14:37.771]',0.185,0.635,0.580,0.776,1.555,63.126
'[23:14:37.779]',0.190,0.615,0.575,0.774,1.534,62.833
'[23:14:37.787]',0.195,0.610,0.580,0.772,1.513,62.481
'[23:14:37.795]',0.190,0.625,0.580,0.770,1.497,62.247
'[23:14:37.803]',0.205,0.605,0.585,0.767,1.483,62.071
'[23:14:37.811]',0.195,0.615,0.580,0.765,1.467,61.837
'[23:14:37.819]',0.190,0.615,0.575,0.763,1.451,61.719
'[23:14:37.827]',0.205,0.605,0.575,0.760,1.434,61.661
'[23:14:37.835]',0.210,0.610,0.585,0.757,1.417,61.661
'[23:14:37.843]',0.205,0.600,0.565,0.754,1.401,61.602
'[23:14:37.851]',0.210,0.590,0.570,0.751,1.385,61.426
'[23:14:37.859]',0.210,0.605,0.580,0.748,1.370,61.250
'[23:14:37.867]',0.230,0.590,0.570,0.746,1.354,60.957
'[23:14:37.875]',0.235,0.570,0.560,0.743,1.338,60.723
'[23:14:37.883]',0.230,0.590,0.555,0.740,1.322,60.430
'[23:14:37.891]',0.250,0.565,0.560,0.738,1.309,60.137
'[23:14:37.899]',0.260,0.560,0.550,0.735,1.298,59.785
'[23:14:37.907]',0.275,0.525,0.535,0.733,1.284,59.433
'[23:14:37.915]',0.285,0.515,0.525,0.731,1.269,59.199
'[23:14:37.923]',0.295,0.530,0.540,0.731,1.253,59.023
'[23:14:37.931]',0.305,0.520,0.525,0.731,1.239,59.258
'[23:14:37.939]',0.335,0.480,0.505,0.733,1.223,60.137
'[23:14:37.947]',0.350,0.470,0.490,0.735,1.207,62.305
'[23:14:37.955]',0.360,0.475,0.490,0.738,1.192,66.760
'[23:14:37.963]',0.375,0.460,0.480,0.741,1.177,73.852
'[23:14:37.971]',0.390,0.430,0.445,0.744,1.162,83.699
'[23:14:37.979]',0.410,0.400,0.435,0.748,1.149,95.070
'[23:14:37.987]',0.400,0.415,0.425,0.754,1.136,106.382
'[23:14:37.995]',0.405,0.425,0.425,0.761,1.127,115.585
'[23:14:38.003]',0.400,0.430,0.420,0.770,1.122,121.856
'[23:14:38.011]',0.370,0.475,0.445,0.780,1.116,124.904
'[23:14:38.019]',0.365,0.455,0.455,0.791,1.111,125.783
'[23:14:38.027]',0.325,0.495,0.485,0.802,1.109,125.666
'[23:14:38.035]',0.295,0.515,0.510,0.814,1.108,125.373
'[23:14:38.043]',0.270,0.540,0.540,0.826,1.109,125.373
'[23:14:38.051]',0.235,0.570,0.560,0.837,1.110,125.666
'[23:14:38.059]',0.205,0.605,0.580,0.848,1.112,126.252
'[23:14:38.067]',0.190,0.615,0.585,0.857,1.115,126.838
'[23:14:38.075]',0.175,0.635,0.590,0.867,1.119,127.424
'[23:14:38.083]',0.170,0.660,0.600,0.876,1.123,127.717
'[23:14:38.091]',0.165,0.650,0.585,0.884,1.129,127.717
'[23:14:38.099]',0.160,0.655,0.590,0.893,1.137,127.483
'[23:14:38.107]',0.160,0.660,0.600,0.901,1.143,127.131
'[23:14:38.115]',0.165,0.645,0.585,0.908,1.147,126.545
'[23:14:38.123]',0.165,0.650,0.590,0.915,1.150,126.018
'[23:14:38.131]',0.170,0.640,0.595,0.921,1.152,125.197
'[23:14:38.139]',0.165,0.645,0.580,0.927,1.153,124.142
'[23:14:38.147]',0.170,0.655,0.585,0.933,1.154,122.911
'[23:14:38.155]',0.165,0.660,0.585,0.939,1.154,121.680
'[23:14:38.163]',0.195,0.630,0.590,0.945,1.154,120.274
'[23:14:38.171]',0.205,0.610,0.585,0.952,1.153,118.867
'[23:14:38.179]',0.180,0.635,0.580,0.958,1.152,117.343
'[23:14:38.187]',0.180,0.655,0.590,0.966,1.153,115.702
'[23:14:38.195]',0.205,0.615,0.585,0.973,1.159,114.002
'[23:14:38.203]',0.195,0.645,0.590,0.980,1.171,112.185
'[23:14:38.211]',0.205,0.625,0.585,0.986,1.191,110.251
'[23:14:38.219]',0.200,0.630,0.585,0.992,1.224,108.024
'[23:14:38.227]',0.225,0.585,0.565,0.996,1.274,105.679
'[23:14:38.235]',0.230,0.575,0.565,1.000,1.342,102.983
'[23:14:38.243]',0.210,0.625,0.575,1.000,1.431,99.994
'[23:14:38.251]',0.215,0.595,0.560,1.000,1.540,96.711
'[23:14:38.259]',0.205,0.620,0.560,1.000,1.666,93.370
'[23:14:38.267]',0.210,0.600,0.555,1.000,1.804,90.264
'[23:14:38.275]',0.205,0.615,0.550,1.000,1.951,87.626
'[23:14:38.283]',0.205,0.630,0.560,1.000,2.102,85.692
'[23:14:38.291]',0.190,0.625,0.560,1.000,2.230,84.344
'[23:14:38.299]',0.205,0.635,0.560,1.000,2.343,83.699
'[23:14:38.307]',0.190,0.625,0.540,1.000,2.464,83.230
'[23:14:38.315]',0.190,0.620,0.540,1.000,2.583,83.054
'[23:14:38.323]',0.195,0.625,0.540,1.000,2.690,82.937
'[23:14:38.331]',0.200,0.630,0.540,1.000,2.786,82.761
'[23:14:38.339]',0.185,0.615,0.540,1.000,2.869,82.468
'[23:14:38.347]',0.185,0.635,0.545,1.000,2.938,82.175
'[23:14:38.355]',0.190,0.650,0.550,1.000,2.993,81.706
'[23:14:38.363]',0.185,0.640,0.545,1.000,3.035,81.237
'[23:14:38.371]',0.225,0.600,0.555,1.000,3.066,80.710
'[23:14:38.379]',0.225,0.595,0.565,1.000,3.087,80.182
'[23:14:38.387]',0.215,0.605,0.570,1.000,3.097,79.596
'[23:14:38.395]',0.230,0.615,0.585,1.000,3.094,79.069
'[23:14:38.403]',0.230,0.600,0.575,1.000,3.083,78.483
'[23:14:38.411]',0.240,0.590,0.580,1.000,3.068,77.838
'[23:14:38.419]',0.235,0.590,0.555,1.000,3.050,77.252
'[23:14:38.427]',0.230,0.590,0.540,1.000,3.027,76.607
'[23:14:38.435]',0.225,0.595,0.520,1.000,3.001,75.962
