'Time','II','PLETH','ABP','III','I'
'hh:mm:ss.mmm','mV','NU','mmHg','mV','mV'
'[13:32:29.000]',0.219,0.435,71.295,-,-
'[13:32:29.008]',0.273,0.412,71.295,-,-
'[13:32:29.016]',0.328,0.388,71.710,-,-
'[13:32:29.024]',0.383,0.369,71.710,-,-
'[13:32:29.032]',0.430,0.345,72.539,-,-
'[13:32:29.040]',0.453,0.325,73.368,-,-
'[13:32:29.048]',0.469,0.310,73.368,-,-
'[13:32:29.056]',0.453,0.294,72.539,-,-
'[13:32:29.064]',0.430,0.282,71.295,-,-
'[13:32:29.072]',0.383,0.275,70.466,-,-
'[13:32:29.080]',0.320,0.271,68.808,-,-
'[13:32:29.088]',0.258,0.271,69.637,-,-
'[13:32:29.096]',0.219,0.278,75.026,-,-
'[13:32:29.104]',0.180,0.286,86.632,-,-
'[13:32:29.112]',0.148,0.294,104.870,-,-
'[13:32:29.120]',0.141,0.310,121.036,-,-
'[13:32:29.128]',0.141,0.322,130.570,-,-
'[13:32:29.136]',0.148,0.337,132.642,-,-
'[13:32:29.144]',0.148,0.353,132.642,-,-
'[13:32:29.152]',0.156,0.365,133.472,-,-
'[13:32:29.160]',0.164,0.373,135.130,-,-
'[13:32:29.168]',0.164,0.380,136.788,-,-
'[13:32:29.176]',0.164,0.388,136.788,-,-
'[13:32:29.184]',0.164,0.392,135.959,-,-
'[13:32:29.192]',0.164,0.392,134.301,-,-
'[13:32:29.200]',0.172,0.392,132.228,-,-
'[13:32:29.208]',0.172,0.392,130.570,-,-
'[13:32:29.216]',0.164,0.388,128.912,-,-
'[13:32:29.224]',0.164,0.384,127.254,-,-
'[13:32:29.232]',0.164,0.380,125.596,-,-
'[13:32:29.240]',0.164,0.376,123.523,-,-
'[13:32:29.248]',0.164,0.369,121.865,-,-
'[13:32:29.256]',0.172,0.365,119.378,-,-
'[13:32:29.264]',0.219,0.361,116.477,-,-
'[13:32:29.272]',0.273,0.353,113.990,-,-
'[13:32:29.280]',0.305,0.349,111.088,-,-
