'Time','II','AVR','V','RESP','PLETH','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg'
'[13:04:21.480]',0.910,0.440,0.720,0.127,2.592,57.783,4.494
'[13:04:21.488]',0.920,0.435,0.720,0.126,2.697,58.027,3.624
'[13:04:21.496]',0.920,0.435,0.725,0.125,2.770,58.173,2.931
'[13:04:21.504]',0.925,0.425,0.720,0.124,2.814,58.173,2.686
'[13:04:21.512]',0.930,0.420,0.725,0.123,2.829,58.124,3.126
'[13:04:21.520]',0.945,0.410,0.720,0.122,2.820,57.978,4.181
'[13:04:21.528]',0.945,0.415,0.730,0.122,2.795,57.685,5.500
'[13:04:21.536]',0.955,0.400,0.720,0.122,2.757,57.294,6.555
'[13:04:21.544]',0.960,0.395,0.730,0.122,2.707,56.806,6.867
'[13:04:21.552]',0.975,0.380,0.720,0.123,2.643,56.317,6.369
'[13:04:21.560]',0.975,0.380,0.725,0.124,2.569,55.731,5.119
'[13:04:21.568]',0.990,0.355,0.720,0.124,2.487,55.243,3.497
'[13:04:21.576]',1.000,0.350,0.725,0.125,2.399,54.754,1.749
'[13:04:21.584]',1.010,0.340,0.730,0.127,2.305,54.315,0.186
'[13:04:21.592]',1.020,0.345,0.725,0.128,2.206,53.777,-0.821
'[13:04:21.600]',1.020,0.335,0.735,0.130,2.105,53.289,-1.192
'[13:04:21.608]',1.035,0.335,0.735,0.132,2.001,52.849,-0.879
'[13:04:21.616]',1.035,0.340,0.745,0.134,1.897,52.752,-0.127
'[13:04:21.624]',1.025,0.345,0.750,0.137,1.796,53.191,0.625
'[13:04:21.632]',1.010,0.360,0.760,0.139,1.708,54.657,1.250
'[13:04:21.640]',1.000,0.370,0.765,0.141,1.628,57.587,1.622
'[13:04:21.648]',0.990,0.385,0.770,0.143,1.544,61.983,1.680
'[13:04:21.656]',0.975,0.390,0.770,0.145,1.465,67.698,1.563
'[13:04:21.664]',0.975,0.400,0.770,0.147,1.392,74.048,1.436
'[13:04:21.672]',0.975,0.400,0.760,0.148,1.326,80.544,1.368
'[13:04:21.680]',0.975,0.410,0.770,0.150,1.267,86.405,1.680
'[13:04:21.688]',0.975,0.405,0.760,0.151,1.218,91.485,2.247
'[13:04:21.696]',0.970,0.410,0.770,0.152,1.179,95.490,3.058
'[13:04:21.704]',0.975,0.400,0.755,0.153,1.148,98.421,3.937
'[13:04:21.712]',0.970,0.410,0.765,0.153,1.123,100.326,4.562
'[13:04:21.720]',0.975,0.400,0.760,0.154,1.105,101.107,4.748
'[13:04:21.728]',0.970,0.410,0.770,0.154,1.094,101.010,4.621
'[13:04:21.736]',0.975,0.405,0.770,0.154,1.087,99.935,4.249
'[13:04:21.744]',0.975,0.415,0.770,0.154,1.080,98.030,3.751
'[13:04:21.752]',0.985,0.395,0.770,0.153,1.075,95.734,3.497
'[13:04:21.760]',1.005,0.390,0.785,0.153,1.070,93.048,3.439
'[13:04:21.768]',1.030,0.375,0.790,0.152,1.065,90.166,3.751
'[13:04:21.776]',1.040,0.370,0.785,0.151,1.061,87.284,4.376
'[13:04:21.784]',1.040,0.360,0.775,0.149,1.058,84.403,5.304
'[13:04:21.792]',1.015,0.370,0.770,0.148,1.054,81.570,6.242
'[13:04:21.800]',0.990,0.385,0.760,0.147,1.047,78.786,6.809
'[13:04:21.808]',0.965,0.410,0.745,0.146,1.039,76.099,6.750
'[13:04:21.816]',0.945,0.415,0.740,0.145,1.032,73.657,6.311
'[13:04:21.824]',0.935,0.420,0.730,0.143,1.024,71.312,5.617
'[13:04:21.832]',0.940,0.425,0.735,0.142,1.018,69.066,5.119
'[13:04:21.840]',0.935,0.420,0.725,0.140,1.011,66.819,4.806
'[13:04:21.848]',0.930,0.430,0.730,0.139,0.997,64.621,4.933
'[13:04:21.856]',0.925,0.425,0.720,0.137,0.981,62.569,5.246
'[13:04:21.864]',0.925,0.435,0.745,0.136,0.968,60.664,5.617
'[13:04:21.872]',0.915,0.405,0.760,0.135,0.956,59.053,6.057
'[13:04:21.880]',1.090,0.270,0.845,0.134,0.952,57.734,6.496
'[13:04:21.888]',1.490,0.020,0.935,0.133,0.964,56.659,6.867
'[13:04:21.896]',1.500,-0.040,0.945,0.132,0.995,55.926,7.063
'[13:04:21.904]',1.190,0.340,0.770,0.131,1.054,55.438,6.994
'[13:04:21.912]',0.975,0.440,0.615,0.131,1.145,55.194,6.867
'[13:04:21.920]',0.910,0.430,0.605,0.131,1.267,55.096,6.809
'[13:04:21.928]',0.890,0.450,0.675,0.131,1.396,55.096,6.809
'[13:04:21.936]',0.895,0.445,0.695,0.131,1.536,55.292,6.867
'[13:04:21.944]',0.895,0.455,0.715,0.131,1.711,55.633,6.809
'[13:04:21.952]',0.900,0.445,0.710,0.131,1.903,56.073,6.555
'[13:04:21.960]',0.895,0.455,0.715,0.131,2.101,56.464,6.184
'[13:04:21.968]',0.905,0.440,0.720,0.131,2.288,57.001,5.617
'[13:04:21.976]',0.905,0.450,0.715,0.132,2.457,57.343,4.933
'[13:04:21.984]',0.910,0.435,0.720,0.132,2.599,57.734,4.122
'[13:04:21.992]',0.910,0.440,0.720,0.133,2.711,57.978,3.243
'[13:04:22.000]',0.920,0.425,0.725,0.134,2.790,58.173,2.686
'[13:04:22.008]',0.925,0.430,0.720,0.135,2.839,58.222,2.559
'[13:04:22.016]',0.930,0.415,0.730,0.137,2.857,58.173,3.126
'[13:04:22.024]',0.935,0.415,0.720,0.139,2.849,58.027,4.249
'[13:04:22.032]',0.945,0.410,0.735,0.141,2.826,57.734,5.617
'[13:04:22.040]',0.950,0.405,0.725,0.143,2.789,57.343,6.623
'[13:04:22.048]',0.955,0.395,0.735,0.146,2.738,56.806,6.867
'[13:04:22.056]',0.970,0.385,0.725,0.149,2.674,56.317,6.057
'[13:04:22.064]',0.975,0.375,0.735,0.152,2.600,55.780,4.621
'[13:04:22.072]',0.990,0.360,0.725,0.155,2.517,55.292,2.872
'[13:04:22.080]',1.000,0.350,0.735,0.158,2.427,54.803,1.182
'[13:04:22.088]',1.005,0.340,0.730,0.161,2.332,54.315,-0.195
'[13:04:22.096]',1.015,0.345,0.745,0.164,2.234,53.777,-1.065
'[13:04:22.104]',1.025,0.330,0.735,0.166,2.132,53.289,-1.377
'[13:04:22.112]',1.025,0.340,0.745,0.169,2.027,52.947,-1.065
'[13:04:22.120]',1.030,0.340,0.745,0.171,1.922,52.947,-0.381
'[13:04:22.128]',1.015,0.360,0.755,0.173,1.831,53.533,0.430
'[13:04:22.136]',1.010,0.355,0.760,0.176,1.755,55.292,1.182
'[13:04:22.144]',1.000,0.380,0.770,0.178,1.676,58.564,1.749
'[13:04:22.152]',0.990,0.385,0.770,0.181,1.596,63.302,2.120
'[13:04:22.160]',0.975,0.400,0.770,0.183,1.519,69.163,2.432
'[13:04:22.168]',0.975,0.405,0.760,0.185,1.447,75.757,2.618
'[13:04:22.176]',0.970,0.415,0.770,0.187,1.383,82.253,2.745
'[13:04:22.184]',0.965,0.410,0.765,0.188,1.327,88.115,2.745
'[13:04:22.192]',0.965,0.415,0.765,0.189,1.279,92.950,2.686
'[13:04:22.200]',0.970,0.405,0.770,0.190,1.239,96.662,2.686
