"'Time','II','AVR','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'"
"'[17:49:48.768]',-,-,-,-,-,-"
"'[17:49:48.776]',-,-,-,-,-,-"
"'[17:49:48.784]',-,-,-,-,-,-"
"'[17:49:48.792]',-,-,-,-,-,-"
"'[17:49:48.800]',-,-,-,-,-,-"
"'[17:49:48.808]',-,-,-,-,-,-"
"'[17:49:48.816]',-,-,-,-,-,-"
"'[17:49:48.824]',-,-,-,-,-,-"
"'[17:49:48.832]',-,-,-,-,-,-"
"'[17:49:48.840]',-,-,-,-,-,-"
"'[17:49:48.848]',-,-,-,-,-,-"
"'[17:49:48.856]',-,-,-,-,-,-"
"'[17:49:48.864]',-,-,-,-,-,-"
"'[17:49:48.872]',-,-,-,-,-,-"
"'[17:49:48.880]',-,-,-,-,-,-"
"'[17:49:48.888]',-,-,-,-,-,-"
"'[17:49:48.896]',-,-,-,-,-,-"
"'[17:49:48.904]',-,-,-,-,-,-"
"'[17:49:48.912]',-,-,-,-,-,-"
"'[17:49:48.920]',-,-,-,-,-,-"
"'[17:49:48.928]',-,-,-,-,-,-"
"'[17:49:48.936]',-,-,-,-,-,-"
"'[17:49:48.944]',-,-,-,-,-,-"
"'[17:49:48.952]',-,-,-,-,-,-"
"'[17:49:48.960]',-,-,-,-,-,-"
"'[17:49:48.968]',-,-,-,-,-,-"
"'[17:49:48.976]',-,-,-,-,-,-"
"'[17:49:48.984]',-,-,-,-,-,-"
"'[17:49:48.992]',-,-,-,-,-,-"
"'[17:49:49.000]',-,-,-,-,-,-"
"'[17:49:49.008]',-,-,-,-,-,-"
"'[17:49:49.016]',-,-,-,-,-,-"
"'[17:49:49.024]',-,-,-,-,-,-"
"'[17:49:49.032]',-,-,-,-,-,-"
"'[17:49:49.040]',-,-,-,-,-,-"
"'[17:49:49.048]',-,-,-,-,-,-"
"'[17:49:49.056]',-,-,-,-,-,-"
"'[17:49:49.064]',-,-,-,-,-,-"
"'[17:49:49.072]',-,-,-,-,-,-"
"'[17:49:49.080]',-,-,-,-,-,-"
"'[17:49:49.088]',-,-,-,-,-,-"
"'[17:49:49.096]',-,-,-,-,-,-"
"'[17:49:49.104]',-,-,-,-,-,-"
"'[17:49:49.112]',-,-,-,-,-,-"
"'[17:49:49.120]',-,-,-,-,-,-"
"'[17:49:49.128]',-,-,-,-,-,-"
"'[17:49:49.136]',-,-,-,-,-,-"
"'[17:49:49.144]',-,-,-,-,-,-"
"'[17:49:49.152]',-,-,-,-,-,-"
"'[17:49:49.160]',-,-,-,-,-,-"
"'[17:49:49.168]',-,-,-,-,-,-"
"'[17:49:49.176]',-,-,-,-,-,-"
"'[17:49:49.184]',-,-,-,-,-,-"
"'[17:49:49.192]',-,-,-,-,-,-"
"'[17:49:49.200]',-,-,-,-,-,-"
"'[17:49:49.208]',-,-,-,-,-,-"
"'[17:49:49.216]',-,-,-,-,-,-"
"'[17:49:49.224]',-,-,-,-,-,-"
"'[17:49:49.232]',-,-,-,-,-,-"
"'[17:49:49.240]',-,-,-,-,-,-"
"'[17:49:49.248]',-,-,-,-,-,-"
"'[17:49:49.256]',-,-,-,-,-,-"
"'[17:49:49.264]',-,-,-,-,-,-"
"'[17:49:49.272]',-,-,-,-,-,-"
"'[17:49:49.280]',-,-,-,-,-,-"
"'[17:49:49.288]',-,-,-,-,-,-"
"'[17:49:49.296]',-,-,-,-,-,-"
"'[17:49:49.304]',-,-,-,-,-,-"
"'[17:49:49.312]',-,-,-,-,-,-"
"'[17:49:49.320]',-,-,-,-,-,-"
"'[17:49:49.328]',-,-,-,-,-,-"
"'[17:49:49.336]',-,-,-,-,-,-"
"'[17:49:49.344]',-,-,-,-,-,-"
"'[17:49:49.352]',-,-,-,-,-,-"
"'[17:49:49.360]',-,-,-,-,-,-"
"'[17:49:49.368]',-,-,-,-,-,-"
"'[17:49:49.376]',-,-,-,-,-,-"
"'[17:49:49.384]',-,-,-,-,-,-"
"'[17:49:49.392]',-,-,-,-,-,-"
"'[17:49:49.400]',-,-,-,-,-,-"
"'[17:49:49.408]',-,-,-,-,-,-"
"'[17:49:49.416]',-,-,-,-,-,-"
"'[17:49:49.424]',-,-,-,-,-,-"
"'[17:49:49.432]',-,-,-,-,-,-"
"'[17:49:49.440]',-,-,-,-,-,-"
"'[17:49:49.448]',-,-,-,-,-,-"
"'[17:49:49.456]',-,-,-,-,-,-"
"'[17:49:49.464]',-,-,-,-,-,-"
"'[17:49:49.472]',-,-,-,-,-,-"
"'[17:49:49.480]',-,-,-,-,-,-"
"'[17:49:49.488]',-,-,-,-,-,-"
"'[17:49:49.496]',-,-,-,-,-,-"
"'[17:49:49.504]',-,-,-,-,-,-"
"'[17:49:49.512]',-,-,-,-,-,-"
"'[17:49:49.520]',-,-,-,-,-,-"
"'[17:49:49.528]',-,-,-,-,-,-"
"'[17:49:49.536]',-,-,-,-,-,-"
"'[17:49:49.544]',-,-,-,-,-,-"
"'[17:49:49.552]',-,-,-,-,-,-"
"'[17:49:49.560]',-,-,-,-,-,-"
"'[17:49:49.568]',-,-,-,-,-,-"
"'[17:49:49.576]',-,-,-,-,-,-"
"'[17:49:49.584]',-,-,-,-,-,-"
"'[17:49:49.592]',-,-,-,-,-,-"
"'[17:49:49.600]',-,-,-,-,-,-"
"'[17:49:49.608]',-,-,-,-,-,-"
"'[17:49:49.616]',-,-,-,-,-,-"
"'[17:49:49.624]',-,-,-,-,-,-"
"'[17:49:49.632]',-,-,-,-,-,-"
"'[17:49:49.640]',-,-,-,-,-,-"
"'[17:49:49.648]',-,-,-,-,-,-"
"'[17:49:49.656]',-,-,-,-,-,-"
"'[17:49:49.664]',-,-,-,-,-,-"
"'[17:49:49.672]',-,-,-,-,-,-"
"'[17:49:49.680]',-,-,-,-,-,-"
"'[17:49:49.688]',-,-,-,-,-,-"
"'[17:49:49.696]',-,-,-,-,-,-"
"'[17:49:49.704]',-,-,-,-,-,-"
"'[17:49:49.712]',-,-,-,-,-,-"
"'[17:49:49.720]',-,-,-,-,-,-"
"'[17:49:49.728]',-,-,-,-,-,-"
"'[17:49:49.736]',-,-,-,-,-,-"
"'[17:49:49.744]',-,-,-,-,-,-"
"'[17:49:49.752]',-,-,-,-,-,-"
"'[17:49:49.760]',-,-,-,-,-,-"
"'[17:49:49.768]',-,-,-,-,-,-"
"'[17:49:49.776]',-,-,-,-,-,-"
"'[17:49:49.784]',-,-,-,-,-,-"
"'[17:49:49.792]',-,-,-,-,-,-"
"'[17:49:49.800]',-,-,-,-,-,-"
"'[17:49:49.808]',-,-,-,-,-,-"
"'[17:49:49.816]',-,-,-,-,-,-"
"'[17:49:49.824]',-,-,-,-,-,-"
"'[17:49:49.832]',-,-,-,-,-,-"
"'[17:49:49.840]',-,-,-,-,-,-"
"'[17:49:49.848]',-,-,-,-,-,-"
"'[17:49:49.856]',-,-,-,-,-,-"
"'[17:49:49.864]',-,-,-,-,-,-"
"'[17:49:49.872]',-,-,-,-,-,-"
"'[17:49:49.880]',-,-,-,-,-,-"
"'[17:49:49.888]',-,-,-,-,-,-"
"'[17:49:49.896]',-,-,-,-,-,-"
"'[17:49:49.904]',-,-,-,-,-,-"
"'[17:49:49.912]',-,-,-,-,-,-"
"'[17:49:49.920]',-,-,-,-,-,-"
"'[17:49:49.928]',-,-,-,-,-,-"
"'[17:49:49.936]',-,-,-,-,-,-"
"'[17:49:49.944]',-,-,-,-,-,-"
"'[17:49:49.952]',-,-,-,-,-,-"
"'[17:49:49.960]',-,-,-,-,-,-"
"'[17:49:49.968]',-,-,-,-,-,-"
"'[17:49:49.976]',-,-,-,-,-,-"
"'[17:49:49.984]',-,-,-,-,-,-"
"'[17:49:49.992]',-,-,-,-,-,-"
"'[17:49:50.000]',-,-,-,-,-,-"
"'[17:49:50.008]',-,-,-,-,-,-"
"'[17:49:50.016]',-,-,-,-,-,-"
"'[17:49:50.024]',-,-,-,-,-,-"
"'[17:49:50.032]',-,-,-,-,-,-"
"'[17:49:50.040]',-,-,-,-,-,-"
"'[17:49:50.048]',-,-,-,-,-,-"
"'[17:49:50.056]',-,-,-,-,-,-"
"'[17:49:50.064]',-,-,-,-,-,-"
"'[17:49:50.072]',-,-,-,-,-,-"
"'[17:49:50.080]',-,-,-,-,-,-"
"'[17:49:50.088]',-,-,-,-,-,-"
"'[17:49:50.096]',-,-,-,-,-,-"
"'[17:49:50.104]',-,-,-,-,-,-"
"'[17:49:50.112]',-,-,-,-,-,-"
"'[17:49:50.120]',-,-,-,-,-,-"
"'[17:49:50.128]',-,-,-,-,-,-"
"'[17:49:50.136]',-,-,-,-,-,-"
"'[17:49:50.144]',-,-,-,-,-,-"
"'[17:49:50.152]',-,-,-,-,-,-"
"'[17:49:50.160]',-,-,-,-,-,-"
"'[17:49:50.168]',-,-,-,-,-,-"
"'[17:49:50.176]',-,-,-,-,-,-"
"'[17:49:50.184]',-,-,-,-,-,-"
"'[17:49:50.192]',-,-,-,-,-,-"
"'[17:49:50.200]',-,-,-,-,-,-"
"'[17:49:50.208]',-,-,-,-,-,-"
"'[17:49:50.216]',-,-,-,-,-,-"
"'[17:49:50.224]',-,-,-,-,-,-"
"'[17:49:50.232]',-,-,-,-,-,-"
"'[17:49:50.240]',-,-,-,-,-,-"
"'[17:49:50.248]',-,-,-,-,-,-"
"'[17:49:50.256]',-,-,-,-,-,-"
"'[17:49:50.264]',-,-,-,-,-,-"
"'[17:49:50.272]',-,-,-,-,-,-"
"'[17:49:50.280]',-,-,-,-,-,-"
"'[17:49:50.288]',-,-,-,-,-,-"
"'[17:49:50.296]',-,-,-,-,-,-"
"'[17:49:50.304]',-,-,-,-,-,-"
"'[17:49:50.312]',-,-,-,-,-,-"
"'[17:49:50.320]',-,-,-,-,-,-"
"'[17:49:50.328]',-,-,-,-,-,-"
"'[17:49:50.336]',-,-,-,-,-,-"
"'[17:49:50.344]',-,-,-,-,-,-"
"'[17:49:50.352]',-,-,-,-,-,-"
"'[17:49:50.360]',-,-,-,-,-,-"
"'[17:49:50.368]',-,-,-,-,-,-"
"'[17:49:50.376]',-,-,-,-,-,-"
"'[17:49:50.384]',-,-,-,-,-,-"
"'[17:49:50.392]',-,-,-,-,-,-"
"'[17:49:50.400]',-,-,-,-,-,-"
"'[17:49:50.408]',-,-,-,-,-,-"
"'[17:49:50.416]',-,-,-,-,-,-"
"'[17:49:50.424]',-,-,-,-,-,-"
"'[17:49:50.432]',-,-,-,-,-,-"
"'[17:49:50.440]',-,-,-,-,-,-"
"'[17:49:50.448]',-,-,-,-,-,-"
"'[17:49:50.456]',-,-,-,-,-,-"
"'[17:49:50.464]',-,-,-,-,-,-"
"'[17:49:50.472]',-,-,-,-,-,-"
"'[17:49:50.480]',-,-,-,-,-,-"
"'[17:49:50.488]',-,-,-,-,-,-"
"'[17:49:50.496]',-,-,-,-,-,-"
"'[17:49:50.504]',-,-,-,-,-,-"
"'[17:49:50.512]',-,-,-,-,-,-"
"'[17:49:50.520]',-,-,-,-,-,-"
"'[17:49:50.528]',-,-,-,-,-,-"
"'[17:49:50.536]',-,-,-,-,-,-"
"'[17:49:50.544]',-,-,-,-,-,-"
"'[17:49:50.552]',-,-,-,-,-,-"
"'[17:49:50.560]',-,-,-,-,-,-"
"'[17:49:50.568]',-,-,-,-,-,-"
"'[17:49:50.576]',-,-,-,-,-,-"
"'[17:49:50.584]',-,-,-,-,-,-"
"'[17:49:50.592]',-,-,-,-,-,-"
"'[17:49:50.600]',-,-,-,-,-,-"
"'[17:49:50.608]',-,-,-,-,-,-"
"'[17:49:50.616]',-,-,-,-,-,-"
"'[17:49:50.624]',-,-,-,-,-,-"
"'[17:49:50.632]',-,-,-,-,-,-"
"'[17:49:50.640]',-,-,-,-,-,-"
"'[17:49:50.648]',-,-,-,-,-,-"
"'[17:49:50.656]',-,-,-,-,-,-"
"'[17:49:50.664]',-,-,-,-,-,-"
"'[17:49:50.672]',-,-,-,-,-,-"
"'[17:49:50.680]',-,-,-,-,-,-"
"'[17:49:50.688]',-,-,-,-,-,-"
"'[17:49:50.696]',-,-,-,-,-,-"
"'[17:49:50.704]',-,-,-,-,-,-"
"'[17:49:50.712]',-,-,-,-,-,-"
"'[17:49:50.720]',-,-,-,-,-,-"
"'[17:49:50.728]',-,-,-,-,-,-"
"'[17:49:50.736]',-,-,-,-,-,-"
"'[17:49:50.744]',-,-,-,-,-,-"
"'[17:49:50.752]',-,-,-,-,-,-"
"'[17:49:50.760]',-,-,-,-,-,-"
"'[17:49:50.768]',-,-,-,-,-,-"
"'[17:49:50.776]',-,-,-,-,-,-"
"'[17:49:50.784]',-,-,-,-,-,-"
"'[17:49:50.792]',-,-,-,-,-,-"
"'[17:49:50.800]',-,-,-,-,-,-"
"'[17:49:50.808]',-,-,-,-,-,-"
"'[17:49:50.816]',-,-,-,-,-,-"
"'[17:49:50.824]',-,-,-,-,-,-"
"'[17:49:50.832]',-,-,-,-,-,-"
"'[17:49:50.840]',-,-,-,-,-,-"
"'[17:49:50.848]',-,-,-,-,-,-"
"'[17:49:50.856]',-,-,-,-,-,-"
"'[17:49:50.864]',-,-,-,-,-,-"
"'[17:49:50.872]',-,-,-,-,-,-"
"'[17:49:50.880]',-,-,-,-,-,-"
"'[17:49:50.888]',-,-,-,-,-,-"
"'[17:49:50.896]',-,-,-,-,-,-"
"'[17:49:50.904]',-,-,-,-,-,-"
"'[17:49:50.912]',-,-,-,-,-,-"
"'[17:49:50.920]',-,-,-,-,-,-"
"'[17:49:50.928]',-,-,-,-,-,-"
"'[17:49:50.936]',-,-,-,-,-,-"
"'[17:49:50.944]',-,-,-,-,-,-"
"'[17:49:50.952]',-,-,-,-,-,-"
"'[17:49:50.960]',-,-,-,-,-,-"
"'[17:49:50.968]',0.105,0.905,0.505,-,-,-"
"'[17:49:50.976]',0.080,0.915,0.505,-,-,-"
"'[17:49:50.984]',0.070,0.930,0.520,-,-,-"
"'[17:49:50.992]',0.080,0.915,0.545,-,-,-"
"'[17:49:51.000]',0.075,0.905,0.560,-,-,-"
"'[17:49:51.008]',0.105,0.891,0.540,-,-,-"
"'[17:49:51.016]',0.135,0.875,0.555,-,-,-"
"'[17:49:51.024]',0.165,0.830,0.575,-,-,-"
"'[17:49:51.032]',0.175,0.835,0.565,-,-,-"
"'[17:49:51.040]',0.170,0.840,0.560,-,-,-"
"'[17:49:51.048]',0.195,0.825,0.565,-,-,-"
"'[17:49:51.056]',0.205,0.810,0.565,-,-,-"
"'[17:49:51.064]',0.155,0.850,0.550,-,-,-"
"'[17:49:51.072]',0.115,0.891,0.540,-,-,-"
"'[17:49:51.080]',0.100,0.900,0.525,-,-,-"
"'[17:49:51.088]',0.080,0.930,0.510,-,-,-"
"'[17:49:51.096]',0.135,0.880,0.505,-,-,-"
"'[17:49:51.104]',0.190,0.830,0.540,-,-,-"
"'[17:49:51.112]',0.230,0.795,0.535,-,-,-"
"'[17:49:51.120]',0.290,0.745,0.570,-,-,-"
"'[17:49:51.128]',0.335,0.730,0.560,-,-,-"
"'[17:49:51.136]',0.345,0.725,0.540,-,-,-"
"'[17:49:51.144]',0.285,0.780,0.535,-,-,-"
"'[17:49:51.152]',0.265,0.800,0.540,-,-,-"
"'[17:49:51.160]',0.275,0.785,0.545,-,-,-"
"'[17:49:51.168]',0.235,0.820,0.540,-,-,-"
"'[17:49:51.176]',0.240,0.815,0.525,-,-,-"
"'[17:49:51.184]',0.245,0.815,0.530,-,-,-"
"'[17:49:51.192]',0.270,0.800,0.545,-,-,-"
"'[17:49:51.200]',0.270,0.795,0.540,-,-,-"
"'[17:49:51.208]',0.295,0.775,0.550,-,-,-"
"'[17:49:51.216]',0.285,0.775,0.560,-,-,-"
"'[17:49:51.224]',0.300,0.765,0.555,-,-,-"
"'[17:49:51.232]',0.330,0.740,0.540,-,-,-"
"'[17:49:51.240]',0.350,0.725,0.550,-,-,-"
"'[17:49:51.248]',0.380,0.705,0.565,-,-,-"
"'[17:49:51.256]',0.375,0.715,0.565,-,-,-"
"'[17:49:51.264]',0.390,0.700,0.560,-,-,-"
"'[17:49:51.272]',0.420,0.680,0.555,-,-,-"
"'[17:49:51.280]',0.435,0.680,0.565,-,-,-"
"'[17:49:51.288]',0.425,0.685,0.560,-,-,-"
"'[17:49:51.296]',0.375,0.715,0.560,-,-,-"
"'[17:49:51.304]',0.350,0.755,0.540,-,-,-"
"'[17:49:51.312]',0.310,0.775,0.535,-,-,-"
"'[17:49:51.320]',0.325,0.745,0.555,-,-,-"
"'[17:49:51.328]',0.340,0.730,0.560,-,-,-"
"'[17:49:51.336]',0.300,0.760,0.560,-,-,-"
"'[17:49:51.344]',0.305,0.755,0.565,-,-,-"
"'[17:49:51.352]',0.335,0.725,0.570,-,-,-"
"'[17:49:51.360]',0.365,0.700,0.565,-,-,-"
"'[17:49:51.368]',0.330,0.735,0.565,-,-,-"
"'[17:49:51.376]',0.335,0.750,0.580,-,-,-"
"'[17:49:51.384]',0.310,0.740,0.585,-,-,-"
"'[17:49:51.392]',0.280,0.780,0.560,-,-,-"
"'[17:49:51.400]',0.255,0.805,0.535,-,-,-"
"'[17:49:51.408]',0.250,0.820,0.520,-,-,-"
"'[17:49:51.416]',0.255,0.800,0.550,-,-,-"
"'[17:49:51.424]',0.295,0.765,0.565,-,-,-"
"'[17:49:51.432]',0.365,0.710,0.565,-,-,-"
"'[17:49:51.440]',0.380,0.695,0.565,-,-,-"
"'[17:49:51.448]',0.295,0.745,0.565,-,-,-"
"'[17:49:51.456]',0.275,0.760,0.555,-,-,-"
"'[17:49:51.464]',0.300,0.740,0.540,-,-,-"
"'[17:49:51.472]',0.305,0.745,0.520,-,-,-"
