'Time','II','III','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[17:56:58.469]',0.290,0.415,0.490,0.157,2.551,91.192
'[17:56:58.477]',0.285,0.415,0.485,0.162,2.705,89.287
'[17:56:58.485]',0.280,0.410,0.480,0.167,2.821,87.626
'[17:56:58.493]',0.275,0.405,0.475,0.172,2.893,86.161
'[17:56:58.501]',0.280,0.400,0.475,0.178,2.935,84.940
'[17:56:58.509]',0.275,0.400,0.475,0.183,2.965,84.061
'[17:56:58.517]',0.270,0.395,0.475,0.189,2.981,83.475
'[17:56:58.525]',0.265,0.395,0.470,0.194,2.986,83.230
'[17:56:58.533]',0.260,0.395,0.470,0.200,2.981,83.133
'[17:56:58.541]',0.260,0.395,0.470,0.206,2.970,83.035
'[17:56:58.549]',0.255,0.395,0.470,0.212,2.952,82.986
'[17:56:58.557]',0.255,0.385,0.470,0.217,2.930,82.937
'[17:56:58.565]',0.255,0.380,0.470,0.222,2.903,82.791
'[17:56:58.573]',0.250,0.380,0.465,0.226,2.875,82.693
'[17:56:58.581]',0.250,0.380,0.465,0.230,2.846,82.547
'[17:56:58.589]',0.250,0.385,0.465,0.233,2.814,82.351
'[17:56:58.597]',0.250,0.380,0.465,0.236,2.782,82.156
'[17:56:58.605]',0.250,0.380,0.460,0.238,2.749,82.009
'[17:56:58.613]',0.250,0.380,0.465,0.240,2.716,81.814
'[17:56:58.621]',0.250,0.385,0.460,0.243,2.681,81.618
'[17:56:58.629]',0.255,0.385,0.455,0.244,2.645,81.374
'[17:56:58.637]',0.250,0.380,0.455,0.246,2.608,81.130
'[17:56:58.645]',0.250,0.380,0.455,0.247,2.569,80.886
'[17:56:58.653]',0.250,0.380,0.455,0.248,2.527,80.544
'[17:56:58.661]',0.255,0.380,0.455,0.249,2.483,80.349
'[17:56:58.669]',0.255,0.380,0.455,0.250,2.435,80.055
'[17:56:58.677]',0.255,0.380,0.450,0.250,2.384,79.762
'[17:56:58.685]',0.255,0.380,0.450,0.250,2.329,79.372
'[17:56:58.693]',0.255,0.380,0.455,0.249,2.276,78.981
'[17:56:58.701]',0.255,0.380,0.450,0.249,2.222,78.590
'[17:56:58.709]',0.255,0.380,0.450,0.248,2.161,78.248
'[17:56:58.717]',0.255,0.385,0.455,0.247,2.097,77.809
'[17:56:58.725]',0.255,0.385,0.455,0.246,2.029,77.369
