'Time','II','III','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'
'[20:23:42.680]',0.416,-,0.629,0.650,0.061,0.338,104.237
'[20:23:42.688]',0.416,-,0.629,0.660,0.054,0.334,101.891
'[20:23:42.696]',0.426,-,0.625,0.680,0.049,0.329,99.348
'[20:23:42.704]',0.436,-,0.625,0.699,0.042,0.325,96.610
'[20:23:42.712]',0.430,-,0.625,0.686,0.037,0.321,93.872
'[20:23:42.720]',0.430,-,0.629,0.641,0.032,0.317,90.939
'[20:23:42.728]',0.445,-,0.629,0.580,0.027,0.315,88.201
'[20:23:42.736]',0.455,-,0.629,0.539,0.024,0.314,85.854
'[20:23:42.744]',0.455,-,0.625,0.529,0.022,0.316,84.094
'[20:23:42.752]',0.475,-,0.600,0.545,0.020,0.322,83.116
'[20:23:42.760]',0.500,-,0.561,0.561,0.017,0.332,82.529
'[20:23:42.768]',0.506,-,0.551,0.570,0.015,0.348,81.552
'[20:23:42.776]',0.484,-,0.564,0.596,0.015,0.366,80.378
'[20:23:42.784]',0.430,-,0.609,0.619,0.015,0.385,79.205
'[20:23:42.792]',0.375,-,0.654,0.641,0.015,0.413,78.227
'[20:23:42.800]',0.346,-,0.676,0.645,0.012,0.446,77.445
'[20:23:42.808]',0.340,-,0.680,0.654,0.012,0.482,77.054
'[20:23:42.816]',0.340,-,0.680,0.654,0.012,0.520,76.467
'[20:23:42.824]',0.340,-,0.680,0.654,0.010,0.559,75.685
'[20:23:42.832]',0.340,-,0.680,0.654,0.007,0.596,74.902
'[20:23:42.840]',0.336,-,0.680,0.660,0.007,0.631,74.120
'[20:23:42.848]',0.336,-,0.680,0.660,0.005,0.665,73.533
'[20:23:42.856]',0.336,-,0.680,0.654,0.002,0.693,72.947
'[20:23:42.864]',0.340,-,0.930,0.914,0.000,0.717,72.164
'[20:23:42.872]',0.131,-,0.676,0.660,-0.002,0.736,71.578
'[20:23:42.880]',0.330,-,0.689,0.680,-0.005,0.749,70.795
'[20:23:42.888]',0.295,-,0.705,0.699,-0.010,0.756,70.013
'[20:23:42.896]',0.230,-,0.715,0.740,-0.012,0.761,69.426
'[20:23:42.904]',0.115,-,0.730,0.811,-0.017,0.761,68.840
'[20:23:42.912]',-0.049,-,0.760,0.936,-0.020,0.758,68.253
'[20:23:42.920]',-0.229,-,0.785,1.064,-0.024,0.750,67.862
'[20:23:42.928]',-0.395,-,0.814,1.119,-0.027,0.738,67.275
'[20:23:42.936]',-0.498,-,0.844,1.004,-0.032,0.723,66.884
'[20:23:42.944]',-0.498,-,0.855,0.635,-0.034,0.705,66.493
'[20:23:42.952]',-0.498,-,0.814,0.145,-0.039,0.683,66.102
'[20:23:42.960]',-0.404,-,0.750,-0.109,-0.042,0.660,65.711
'[20:23:42.968]',-0.225,-,0.705,0.020,-0.046,0.635,65.124
'[20:23:42.976]',-0.084,-,0.699,0.285,-0.051,0.611,64.733
'[20:23:42.984]',-0.014,-,0.766,0.461,-0.054,0.588,64.342
'[20:23:42.992]',0.025,-,0.814,0.535,-0.059,0.568,63.950
'[20:23:43.000]',0.105,-,0.824,0.551,-0.061,0.546,63.364
'[20:23:43.008]',0.246,-,0.789,0.580,-0.064,0.525,62.973
'[20:23:43.016]',0.391,-,0.740,0.625,-0.066,0.504,62.777
'[20:23:43.024]',0.494,-,0.686,0.664,-0.068,0.486,62.386
'[20:23:43.032]',0.555,-,0.645,0.676,-0.071,0.469,62.190
'[20:23:43.040]',0.584,-,0.629,0.670,-0.073,0.454,61.799
'[20:23:43.048]',0.596,-,0.625,0.664,-0.076,0.440,61.604
'[20:23:43.056]',0.605,-,0.619,0.660,-0.078,0.428,61.408
'[20:23:43.064]',0.609,-,0.615,0.660,-0.081,0.418,61.017
'[20:23:43.072]',0.615,-,0.615,0.660,-0.083,0.410,60.821
'[20:23:43.080]',0.619,-,0.609,0.660,-0.086,0.402,60.821
'[20:23:43.088]',0.629,-,0.605,0.654,-0.088,0.395,60.626
'[20:23:43.096]',0.635,-,0.605,0.654,-0.090,0.390,60.626
'[20:23:43.104]',0.650,-,0.600,0.650,-0.090,0.382,60.626
'[20:23:43.112]',0.664,-,0.596,0.641,-0.093,0.372,60.821
'[20:23:43.120]',0.686,-,0.584,0.625,-0.093,0.366,61.408
'[20:23:43.128]',0.705,-,0.580,0.609,-0.095,0.359,62.777
'[20:23:43.136]',0.725,-,0.574,0.600,-0.095,0.353,65.319
'[20:23:43.144]',0.740,-,0.570,0.596,-0.098,0.348,69.622
'[20:23:43.152]',0.760,-,0.564,0.590,-0.098,0.342,75.098
'[20:23:43.160]',0.779,-,0.561,0.590,-0.100,0.338,81.160
'[20:23:43.168]',0.789,-,0.551,0.596,-0.103,0.334,86.441
'[20:23:43.176]',0.795,-,0.545,0.605,-0.103,0.329,90.743
'[20:23:43.184]',0.785,-,0.545,0.615,-0.105,0.326,94.068
'[20:23:43.192]',0.770,-,0.545,0.629,-0.108,0.323,97.001
'[20:23:43.200]',0.740,-,0.545,0.645,-0.112,0.319,100.130
'[20:23:43.208]',0.705,-,0.551,0.664,-0.115,0.316,103.260
'[20:23:43.216]',0.664,-,0.561,0.676,-0.120,0.312,105.997
'[20:23:43.224]',0.619,-,0.564,0.676,-0.122,0.307,107.953
'[20:23:43.232]',0.574,-,0.570,0.680,-0.127,0.304,108.735
'[20:23:43.240]',0.535,-,0.584,0.680,-0.132,0.300,109.127
'[20:23:43.248]',0.500,-,0.596,0.676,-0.134,0.296,109.127
'[20:23:43.256]',0.471,-,0.605,0.676,-0.139,0.292,108.735
'[20:23:43.264]',0.449,-,0.609,0.676,-0.142,0.288,108.149
'[20:23:43.272]',0.430,-,0.619,0.676,-0.144,0.284,107.171
