'Time','II','AVR','V','RESP','PLETH','ABP','PAP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg','mmHg'
'[01:22:50.448]',0.255,0.870,0.515,0.220,1.850,61.495,15.806,6.936
'[01:22:50.456]',0.270,0.865,0.515,0.221,1.796,61.153,15.620,6.496
'[01:22:50.464]',0.280,0.855,0.515,0.221,1.753,60.860,15.806,6.057
'[01:22:50.472]',0.285,0.845,0.515,0.222,1.717,60.469,16.499,5.685
'[01:22:50.480]',0.295,0.840,0.520,0.222,1.681,60.176,17.496,5.373
'[01:22:50.488]',0.305,0.825,0.520,0.223,1.649,59.785,18.248,5.060
'[01:22:50.496]',0.310,0.820,0.525,0.223,1.621,59.492,18.375,4.875
'[01:22:50.504]',0.310,0.810,0.525,0.224,1.595,59.248,17.808,4.621
'[01:22:50.512]',0.315,0.795,0.535,0.224,1.574,59.004,16.939,4.494
'[01:22:50.520]',0.320,0.780,0.535,0.225,1.554,58.759,16.245,4.308
'[01:22:50.528]',0.325,0.765,0.535,0.225,1.538,58.466,15.874,4.249
'[01:22:50.536]',0.335,0.750,0.530,0.226,1.523,58.222,15.747,4.122
'[01:22:50.544]',0.330,0.740,0.530,0.227,1.508,57.929,15.806,4.064
'[01:22:50.552]',0.340,0.720,0.530,0.228,1.495,57.685,16.001,4.064
'[01:22:50.560]',0.345,0.700,0.530,0.229,1.484,57.343,16.431,3.937
'[01:22:50.568]',0.350,0.690,0.535,0.230,1.474,57.001,17.369,3.810
'[01:22:50.576]',0.350,0.680,0.535,0.231,1.462,56.659,18.746,3.556
'[01:22:50.584]',0.360,0.670,0.535,0.232,1.449,56.415,20.495,3.370
'[01:22:50.592]',0.360,0.665,0.535,0.233,1.434,56.659,22.497,3.126
'[01:22:50.600]',0.365,0.655,0.540,0.235,1.418,57.880,24.432,3.058
'[01:22:50.608]',0.370,0.650,0.550,0.236,1.402,60.664,26.122,3.058
'[01:22:50.616]',0.375,0.655,0.555,0.237,1.385,65.305,27.440,3.185
'[01:22:50.624]',0.390,0.655,0.555,0.238,1.368,71.215,28.310,3.312
'[01:22:50.632]',0.395,0.680,0.580,0.239,1.350,77.467,28.876,3.439
'[01:22:50.640]',0.390,0.710,0.580,0.240,1.333,83.133,29.189,3.556
'[01:22:50.648]',0.390,0.740,0.595,0.239,1.317,87.675,29.306,3.683
'[01:22:50.656]',0.390,0.760,0.605,0.239,1.302,91.387,29.433,3.810
'[01:22:50.664]',0.390,0.780,0.605,0.239,1.291,94.367,29.375,4.064
'[01:22:50.672]',0.390,0.795,0.605,0.238,1.283,96.809,29.248,4.308
'[01:22:50.680]',0.385,0.800,0.605,0.237,1.275,98.812,28.935,4.562
'[01:22:50.688]',0.375,0.805,0.605,0.237,1.266,100.375,28.378,4.875
'[01:22:50.696]',0.380,0.810,0.605,0.235,1.257,101.498,27.870,5.119
'[01:22:50.704]',0.370,0.810,0.605,0.233,1.249,102.231,27.558,5.373
'[01:22:50.712]',0.370,0.810,0.605,0.231,1.241,102.719,27.440,5.617
'[01:22:50.720]',0.375,0.805,0.605,0.228,1.234,102.817,27.440,5.871
'[01:22:50.728]',0.370,0.810,0.605,0.226,1.226,102.280,27.440,6.057
'[01:22:50.736]',0.375,0.795,0.610,0.223,1.218,101.303,27.440,6.184
