"'Time','II','III','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'"
"'[21:13:01.792]',-,-,-,-,-,-"
"'[21:13:01.800]',-,-,-,-,-,-"
"'[21:13:01.808]',-,-,-,-,-,-"
"'[21:13:01.816]',-,-,-,-,-,-"
"'[21:13:01.824]',-,-,-,-,-,-"
"'[21:13:01.832]',-,-,-,-,-,-"
"'[21:13:01.840]',-,-,-,-,-,-"
"'[21:13:01.848]',-,-,-,-,-,-"
"'[21:13:01.856]',-,-,-,-,-,-"
"'[21:13:01.864]',-,-,-,-,-,-"
"'[21:13:01.872]',-,-,-,-,-,-"
"'[21:13:01.880]',-,-,-,-,-,-"
"'[21:13:01.888]',-,-,-,-,-,-"
"'[21:13:01.896]',-,-,-,-,-,-"
"'[21:13:01.904]',-,-,-,-,-,-"
"'[21:13:01.912]',-,-,-,-,-,-"
"'[21:13:01.920]',-,-,-,-,-,-"
"'[21:13:01.928]',-,-,-,-,-,-"
"'[21:13:01.936]',-,-,-,-,-,-"
"'[21:13:01.944]',-,-,-,-,-,-"
"'[21:13:01.952]',-,-,-,-,-,-"
"'[21:13:01.960]',-,-,-,-,-,-"
"'[21:13:01.968]',-,-,-,-,-,-"
"'[21:13:01.976]',-,-,-,-,-,-"
"'[21:13:01.984]',-,-,-,-,-,-"
"'[21:13:01.992]',-,-,-,-,-,-"
"'[21:13:02.000]',-,-,-,-,-,-"
"'[21:13:02.008]',-,-,-,-,-,-"
"'[21:13:02.016]',-,-,-,-,-,-"
"'[21:13:02.024]',-,-,-,-,-,-"
"'[21:13:02.032]',-,-,-,-,-,-"
"'[21:13:02.040]',-,-,-,-,-,-"
"'[21:13:02.048]',-,-,-,-,-,-"
"'[21:13:02.056]',-,-,-,-,-,-"
"'[21:13:02.064]',-,-,-,-,-,-"
"'[21:13:02.072]',-,-,-,-,-,-"
"'[21:13:02.080]',-,-,-,-,-,-"
"'[21:13:02.088]',-,-,-,-,-,-"
"'[21:13:02.096]',-,-,-,-,-,-"
"'[21:13:02.104]',-,-,-,-,-,-"
"'[21:13:02.112]',-,-,-,-,-,-"
"'[21:13:02.120]',-,-,-,-,-,-"
"'[21:13:02.128]',-,-,-,-,-,-"
"'[21:13:02.136]',-,-,-,-,-,-"
"'[21:13:02.144]',-,-,-,-,-,-"
"'[21:13:02.152]',-,-,-,-,-,-"
"'[21:13:02.160]',-,-,-,-,-,-"
"'[21:13:02.168]',-,-,-,-,-,-"
"'[21:13:02.176]',-,-,-,-,-,-"
"'[21:13:02.184]',-,-,-,-,-,-"
"'[21:13:02.192]',-,-,-,-,-,-"
"'[21:13:02.200]',-,-,-,-,-,-"
"'[21:13:02.208]',-,-,-,-,-,-"
"'[21:13:02.216]',-,-,-,-,-,-"
"'[21:13:02.224]',-,-,-,-,-,-"
"'[21:13:02.232]',-,-,-,-,-,-"
"'[21:13:02.240]',-,-,-,-,-,-"
"'[21:13:02.248]',-,-,-,-,-,-"
"'[21:13:02.256]',-,-,-,-,-,-"
"'[21:13:02.264]',-,-,-,-,-,-"
"'[21:13:02.272]',-,-,-,-,-,-"
"'[21:13:02.280]',-,-,-,-,-,-"
"'[21:13:02.288]',-,-,-,-,-,-"
"'[21:13:02.296]',-,-,-,-,-,-"
"'[21:13:02.304]',-,-,-,-,-,-"
"'[21:13:02.312]',-,-,-,-,-,-"
"'[21:13:02.320]',-,-,-,-,-,-"
"'[21:13:02.328]',-,-,-,-,-,-"
"'[21:13:02.336]',-,-,-,-,-,-"
"'[21:13:02.344]',-,-,-,-,-,-"
"'[21:13:02.352]',-,-,-,-,-,-"
"'[21:13:02.360]',-,-,-,-,-,-"
"'[21:13:02.368]',-,-,-,-,-,-"
"'[21:13:02.376]',-,-,-,-,-,-"
"'[21:13:02.384]',-,-,-,-,-,-"
"'[21:13:02.392]',-,-,-,-,-,-"
"'[21:13:02.400]',-,-,-,-,-,-"
"'[21:13:02.408]',-,-,-,-,-,-"
"'[21:13:02.416]',-,-,-,-,-,-"
"'[21:13:02.424]',-,-,-,-,-,-"
"'[21:13:02.432]',-,-,-,-,-,-"
"'[21:13:02.440]',-,-,-,-,-,-"
"'[21:13:02.448]',-,-,-,-,-,-"
"'[21:13:02.456]',-,-,-,-,-,-"
"'[21:13:02.464]',-,-,-,-,-,-"
"'[21:13:02.472]',-,-,-,-,-,-"
"'[21:13:02.480]',-,-,-,-,-,-"
"'[21:13:02.488]',-,-,-,-,-,-"
"'[21:13:02.496]',-,-,-,-,-,-"
"'[21:13:02.504]',-,-,-,-,-,-"
"'[21:13:02.512]',-,-,-,-,-,-"
"'[21:13:02.520]',-,-,-,-,-,-"
"'[21:13:02.528]',-,-,-,-,-,-"
"'[21:13:02.536]',-,-,-,-,-,-"
"'[21:13:02.544]',-,-,-,-,-,-"
"'[21:13:02.552]',-,-,-,-,-,-"
"'[21:13:02.560]',-,-,-,-,-,-"
"'[21:13:02.568]',-,-,-,-,-,-"
"'[21:13:02.576]',-,-,-,-,-,-"
"'[21:13:02.584]',-,-,-,-,-,-"
"'[21:13:02.592]',-,-,-,-,-,-"
"'[21:13:02.600]',-,-,-,-,-,-"
"'[21:13:02.608]',-,-,-,-,-,-"
"'[21:13:02.616]',-,-,-,-,-,-"
"'[21:13:02.624]',-,-,-,-,-,-"
"'[21:13:02.632]',-,-,-,-,-,-"
"'[21:13:02.640]',-,-,-,-,-,-"
"'[21:13:02.648]',-,-,-,-,-,-"
"'[21:13:02.656]',-,-,-,-,-,-"
"'[21:13:02.664]',-,-,-,-,-,-"
"'[21:13:02.672]',-,-,-,-,-,-"
"'[21:13:02.680]',-,-,-,-,-,-"
"'[21:13:02.688]',-,-,-,-,-,-"
"'[21:13:02.696]',-,-,-,-,-,-"
"'[21:13:02.704]',-,-,-,-,-,-"
"'[21:13:02.712]',-,-,-,-,-,-"
"'[21:13:02.720]',-,-,-,-,-,-"
"'[21:13:02.728]',-,-,-,-,-,-"
"'[21:13:02.736]',-,-,-,-,-,-"
"'[21:13:02.744]',-,-,-,-,-,-"
"'[21:13:02.752]',-,-,-,-,-,-"
"'[21:13:02.760]',-,-,-,-,-,-"
"'[21:13:02.768]',-,-,-,-,-,-"
"'[21:13:02.776]',-,-,-,-,-,-"
"'[21:13:02.784]',-,-,-,-,-,-"
"'[21:13:02.792]',-,-,-,-,-,-"
"'[21:13:02.800]',-,-,-,-,-,-"
"'[21:13:02.808]',-,-,-,-,-,-"
"'[21:13:02.816]',-,-,-,-,-,-"
"'[21:13:02.824]',-,-,-,-,-,-"
"'[21:13:02.832]',-,-,-,-,-,-"
"'[21:13:02.840]',-,-,-,-,-,-"
"'[21:13:02.848]',-,-,-,-,-,-"
"'[21:13:02.856]',-,-,-,-,-,-"
"'[21:13:02.864]',-,-,-,-,-,-"
"'[21:13:02.872]',-,-,-,-,-,-"
"'[21:13:02.880]',-,-,-,-,-,-"
"'[21:13:02.888]',-,-,-,-,-,-"
"'[21:13:02.896]',-,-,-,-,-,-"
"'[21:13:02.904]',-,-,-,-,-,-"
"'[21:13:02.912]',-,-,-,-,-,-"
"'[21:13:02.920]',-,-,-,-,-,-"
"'[21:13:02.928]',-,-,-,-,-,-"
"'[21:13:02.936]',-,-,-,-,-,-"
"'[21:13:02.944]',-,-,-,-,-,-"
"'[21:13:02.952]',-,-,-,-,-,-"
"'[21:13:02.960]',-,-,-,-,-,-"
"'[21:13:02.968]',-,-,-,-,-,-"
"'[21:13:02.976]',-,-,-,-,-,-"
"'[21:13:02.984]',-,-,-,-,-,-"
"'[21:13:02.992]',-,-,-,-,-,-"
"'[21:13:03.000]',-,-,-,-,-,-"
"'[21:13:03.008]',-,-,-,-,-,-"
"'[21:13:03.016]',-,-,-,-,-,-"
"'[21:13:03.024]',-,-,-,-,-,-"
"'[21:13:03.032]',-,-,-,-,-,-"
"'[21:13:03.040]',-,-,-,-,-,-"
"'[21:13:03.048]',-,-,-,-,-,-"
