'Time','II','III','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[20:43:58.680]',-,-,-,-,-,-
'[20:43:58.688]',-,-,-,-,-,-
'[20:43:58.696]',-,-,-,-,-,-
'[20:43:58.704]',-,-,-,-,-,-
'[20:43:58.712]',-,-,-,-,-,-
'[20:43:58.720]',-,-,-,-,-,-
'[20:43:58.728]',-,-,-,-,-,-
'[20:43:58.736]',-,-,-,-,-,-
'[20:43:58.744]',-,-,-,-,-,-
'[20:43:58.752]',-,-,-,-,-,-
'[20:43:58.760]',-,-,-,-,-,-
'[20:43:58.768]',-,-,-,-,-,-
'[20:43:58.776]',-,-,-,-,-,-
'[20:43:58.784]',-,-,-,-,-,-
'[20:43:58.792]',-,-,-,-,-,-
'[20:43:58.800]',-,-,-,-,-,-
'[20:43:58.808]',-,-,-,-,-,-
'[20:43:58.816]',-,-,-,-,-,-
'[20:43:58.824]',-,-,-,-,-,-
'[20:43:58.832]',-,-,-,-,-,-
'[20:43:58.840]',-,-,-,-,-,-
'[20:43:58.848]',-,-,-,-,-,-
'[20:43:58.856]',-,-,-,-,-,-
'[20:43:58.864]',-,-,-,-,-,-
'[20:43:58.872]',-,-,-,-,-,-
'[20:43:58.880]',-,-,-,-,-,-
'[20:43:58.888]',-,-,-,-,-,-
'[20:43:58.896]',-,-,-,-,-,-
'[20:43:58.904]',-,-,-,-,-,-
'[20:43:58.912]',-,-,-,-,-,-
'[20:43:58.920]',-,-,-,-,-,-
'[20:43:58.928]',-,-,-,-,-,-
'[20:43:58.936]',-,-,-,-,-,-
'[20:43:58.944]',-,-,-,-,-,-
'[20:43:58.952]',-,-,-,-,-,-
'[20:43:58.960]',-,-,-,-,-,-
'[20:43:58.968]',-,-,-,-,-,-
'[20:43:58.976]',-,-,-,-,-,-
'[20:43:58.984]',-,-,-,-,-,-
'[20:43:58.992]',-,-,-,-,-,-
'[20:43:59.000]',-,-,-,-,-,-
'[20:43:59.008]',-,-,-,-,-,-
'[20:43:59.016]',-,-,-,-,-,-
'[20:43:59.024]',-,-,-,-,-,-
'[20:43:59.032]',-,-,-,-,-,-
'[20:43:59.040]',-,-,-,-,-,-
'[20:43:59.048]',-,-,-,-,-,-
'[20:43:59.056]',-,-,-,-,-,-
'[20:43:59.064]',-,-,-,-,-,-
'[20:43:59.072]',-,-,-,-,-,-
'[20:43:59.080]',-,-,-,-,-,-
'[20:43:59.088]',-,-,-,-,-,-
'[20:43:59.096]',-,-,-,-,-,-
'[20:43:59.104]',-,-,-,-,-,-
'[20:43:59.112]',-,-,-,-,-,-
'[20:43:59.120]',-,-,-,-,-,-
'[20:43:59.128]',-,-,-,-,-,-
'[20:43:59.136]',-,-,-,-,-,-
'[20:43:59.144]',-,-,-,-,-,-
'[20:43:59.152]',-,-,-,-,-,-
'[20:43:59.160]',-,-,-,-,-,-
'[20:43:59.168]',-,-,-,-,-,-
'[20:43:59.176]',-,-,-,-,-,-
'[20:43:59.184]',-,-,-,-,-,-
'[20:43:59.192]',-,-,-,-,-,-
'[20:43:59.200]',-,-,-,-,-,-
'[20:43:59.208]',-,-,-,-,-,-
'[20:43:59.216]',-,-,-,-,-,-
'[20:43:59.224]',-,-,-,-,-,-
'[20:43:59.232]',-,-,-,-,-,-
'[20:43:59.240]',-,-,-,-,-,-
'[20:43:59.248]',-,-,-,-,-,-
'[20:43:59.256]',-,-,-,-,-,-
'[20:43:59.264]',-,-,-,-,-,-
'[20:43:59.272]',-,-,-,-,-,-
'[20:43:59.280]',-,-,-,-,-,-
'[20:43:59.288]',-,-,-,-,-,-
'[20:43:59.296]',-,-,-,-,-,-
'[20:43:59.304]',-,-,-,-,-,-
'[20:43:59.312]',-,-,-,-,-,-
'[20:43:59.320]',-,-,-,-,-,-
'[20:43:59.328]',-,-,-,-,-,-
'[20:43:59.336]',-,-,-,-,-,-
'[20:43:59.344]',-,-,-,-,-,-
'[20:43:59.352]',-,-,-,-,-,-
'[20:43:59.360]',-,-,-,-,-,-
'[20:43:59.368]',-,-,-,-,-,-
'[20:43:59.376]',-,-,-,-,-,-
'[20:43:59.384]',-,-,-,-,-,-
'[20:43:59.392]',-,-,-,-,-,-
'[20:43:59.400]',-,-,-,-,-,-
'[20:43:59.408]',-,-,-,-,-,-
'[20:43:59.416]',-,-,-,-,-,-
'[20:43:59.424]',-,-,-,-,-,-
'[20:43:59.432]',-,-,-,-,-,-
'[20:43:59.440]',-,-,-,-,-,-
'[20:43:59.448]',-,-,-,-,-,-
'[20:43:59.456]',-,-,-,-,-,-
'[20:43:59.464]',-,-,-,-,-,-
'[20:43:59.472]',-,-,-,-,-,-
'[20:43:59.480]',-,-,-,-,-,-
'[20:43:59.488]',-,-,-,-,-,-
'[20:43:59.496]',-,-,-,-,-,-
'[20:43:59.504]',-,-,-,-,-,-
'[20:43:59.512]',-,-,-,-,-,-
'[20:43:59.520]',-,-,-,-,-,-
'[20:43:59.528]',-,-,-,-,-,-
'[20:43:59.536]',-,-,-,-,-,-
'[20:43:59.544]',-,-,-,-,-,-
'[20:43:59.552]',-,-,-,-,-,-
'[20:43:59.560]',-,-,-,-,-,-
'[20:43:59.568]',-,-,-,-,-,-
'[20:43:59.576]',-,-,-,-,-,-
'[20:43:59.584]',-,-,-,-,-,-
'[20:43:59.592]',-,-,-,-,-,-
'[20:43:59.600]',-,-,-,-,-,-
'[20:43:59.608]',-,-,-,-,-,-
'[20:43:59.616]',-,-,-,-,-,-
'[20:43:59.624]',-,-,-,-,-,-
'[20:43:59.632]',-,-,-,-,-,-
'[20:43:59.640]',-,-,-,-,-,-
'[20:43:59.648]',-,-,-,-,-,-
'[20:43:59.656]',-,-,-,-,-,-
'[20:43:59.664]',-,-,-,-,-,-
'[20:43:59.672]',-,-,-,-,-,-
'[20:43:59.680]',-,-,-,-,-,-
'[20:43:59.688]',-,-,-,-,-,-
'[20:43:59.696]',-,-,-,-,-,-
'[20:43:59.704]',-,-,-,-,-,-
'[20:43:59.712]',-,-,-,-,-,-
'[20:43:59.720]',-,-,-,-,-,-
'[20:43:59.728]',-,-,-,-,-,-
'[20:43:59.736]',-,-,-,-,-,-
'[20:43:59.744]',-,-,-,-,-,-
'[20:43:59.752]',-,-,-,-,-,-
'[20:43:59.760]',-,-,-,-,-,-
'[20:43:59.768]',-,-,-,-,-,-
'[20:43:59.776]',-,-,-,-,-,-
'[20:43:59.784]',-,-,-,-,-,-
'[20:43:59.792]',-,-,-,-,-,-
'[20:43:59.800]',-,-,-,-,-,-
'[20:43:59.808]',-,-,-,-,-,-
'[20:43:59.816]',-,-,-,-,-,-
'[20:43:59.824]',-,-,-,-,-,-
'[20:43:59.832]',-,-,-,-,-,-
'[20:43:59.840]',-,-,-,-,-,-
'[20:43:59.848]',-,-,-,-,-,-
'[20:43:59.856]',-,-,-,-,-,-
'[20:43:59.864]',-,-,-,-,-,-
'[20:43:59.872]',-,-,-,-,-,-
'[20:43:59.880]',-,-,-,-,-,-
'[20:43:59.888]',-,-,-,-,-,-
'[20:43:59.896]',-,-,-,-,-,-
'[20:43:59.904]',-,-,-,-,-,-
'[20:43:59.912]',-,-,-,-,-,-
'[20:43:59.920]',-,-,-,-,-,-
'[20:43:59.928]',-,-,-,-,-,-
'[20:43:59.936]',-,-,-,-,-,-
'[20:43:59.944]',-,-,-,-,-,-
'[20:43:59.952]',-,-,-,-,-,-
'[20:43:59.960]',-,-,-,-,-,-
'[20:43:59.968]',-,-,-,-,-,-
'[20:43:59.976]',-,-,-,-,-,-
'[20:43:59.984]',-,-,-,-,-,-
'[20:43:59.992]',-,-,-,-,-,-
'[20:44:00.000]',-,-,-,-,-,-
'[20:44:00.008]',-,-,-,-,-,-
'[20:44:00.016]',-,-,-,-,-,-
'[20:44:00.024]',-,-,-,-,-,-
'[20:44:00.032]',-,-,-,-,-,-
'[20:44:00.040]',-,-,-,-,-,-
'[20:44:00.048]',-,-,-,-,-,-
'[20:44:00.056]',-,-,-,-,-,-
'[20:44:00.064]',-,-,-,-,-,-
'[20:44:00.072]',-,-,-,-,-,-
'[20:44:00.080]',-,-,-,-,-,-
'[20:44:00.088]',-,-,-,-,-,-
'[20:44:00.096]',-,-,-,-,-,-
'[20:44:00.104]',-,-,-,-,-,-
'[20:44:00.112]',-,-,-,-,-,-
'[20:44:00.120]',-,-,-,-,-,-
'[20:44:00.128]',-,-,-,-,-,-
'[20:44:00.136]',-,-,-,-,-,-
'[20:44:00.144]',-,-,-,-,-,-
'[20:44:00.152]',-,-,-,-,-,-
'[20:44:00.160]',-,-,-,-,-,-
'[20:44:00.168]',-,-,-,-,-,-
'[20:44:00.176]',-,-,-,-,-,-
'[20:44:00.184]',-,-,-,-,-,-
'[20:44:00.192]',-,-,-,-,-,-
'[20:44:00.200]',-,-,-,-,-,-
'[20:44:00.208]',-,-,-,-,-,-
'[20:44:00.216]',-,-,-,-,-,-
'[20:44:00.224]',-,-,-,-,-,-
'[20:44:00.232]',-,-,-,-,-,-
'[20:44:00.240]',-,-,-,-,-,-
'[20:44:00.248]',-,-,-,-,-,-
'[20:44:00.256]',-,-,-,-,-,-
'[20:44:00.264]',-,-,-,-,-,-
'[20:44:00.272]',-,-,-,-,-,-
'[20:44:00.280]',-,-,-,-,-,-
'[20:44:00.288]',-,-,-,-,-,-
'[20:44:00.296]',-,-,-,-,-,-
'[20:44:00.304]',-,-,-,-,-,-
'[20:44:00.312]',-,-,-,-,-,-
'[20:44:00.320]',-,-,-,-,-,-
'[20:44:00.328]',-,-,-,-,-,-
'[20:44:00.336]',-,-,-,-,-,-
'[20:44:00.344]',-,-,-,-,-,-
'[20:44:00.352]',-,-,-,-,-,-
'[20:44:00.360]',-,-,-,-,-,-
'[20:44:00.368]',-,-,-,-,-,-
'[20:44:00.376]',-,-,-,-,-,-
'[20:44:00.384]',-,-,-,-,-,-
'[20:44:00.392]',-,-,-,-,-,-
'[20:44:00.400]',-,-,-,-,-,-
'[20:44:00.408]',-,-,-,-,-,-
'[20:44:00.416]',-,-,-,-,-,-
'[20:44:00.424]',-,-,-,-,-,-
'[20:44:00.432]',-,-,-,-,-,-
'[20:44:00.440]',-,-,-,-,-,-
'[20:44:00.448]',-,-,-,0.126,-,70.172
'[20:44:00.456]',-,-,-,0.252,-,69.066
'[20:44:00.464]',-,-,-,0.251,-,68.175
'[20:44:00.472]',-,-,-,0.251,-,67.569
'[20:44:00.480]',-,-,-,0.250,-,67.177
'[20:44:00.488]',-,-,-,0.249,-,66.963
'[20:44:00.496]',-,-,-,0.248,-,66.856
'[20:44:00.504]',-,-,-,0.247,-,66.677
'[20:44:00.512]',-,-,-,0.245,-,66.392
'[20:44:00.520]',-,-,-,0.244,-,66.000
'[20:44:00.528]',-,-,-,0.242,-,65.536
'[20:44:00.536]',-,-,-,0.240,-,65.108
'[20:44:00.544]',-,-,-,0.239,-,64.681
'[20:44:00.552]',-,-,-,0.237,-,64.217
'[20:44:00.560]',-,-,-,0.236,-,63.789
'[20:44:00.568]',-,-,-,0.235,-,63.361
'[20:44:00.576]',-,-,-,0.234,-,62.862
'[20:44:00.584]',-,-,-,0.233,-,62.434
'[20:44:00.592]',-,-,-,0.232,-,61.971
'[20:44:00.600]',-,-,-,0.232,-,61.543
'[20:44:00.608]',-,-,-,0.231,-,61.115
'[20:44:00.616]',-,-,-,0.231,-,60.580
'[20:44:00.624]',-,-,-,0.232,-,59.938
'[20:44:00.632]',-,-,-,0.233,-,59.332
'[20:44:00.640]',-,-,-,0.235,-,58.869
'[20:44:00.648]',-,-,-,0.237,-,58.476
'[20:44:00.656]',-,-,-,0.239,-,58.120
'[20:44:00.664]',-,-,-,0.241,-,57.799
'[20:44:00.672]',-,-,-,0.243,-,57.442
'[20:44:00.680]',-,-,-,0.245,-,57.014
'[20:44:00.688]',-,-,-,0.248,-,56.551
'[20:44:00.696]',-,-,-,0.251,-,56.123
'[20:44:00.704]',-,-,-,0.255,-,55.873
'[20:44:00.712]',-,-,-,0.259,-,56.087
'[20:44:00.720]',-,-,-,0.262,-,56.872
'[20:44:00.728]',-,-,-,0.266,-,58.548
'[20:44:00.736]',-,-,-,0.268,-,61.293
'[20:44:00.744]',-,-,-,0.270,-,64.930
'[20:44:00.752]',-,-,-,0.272,-,69.173
'[20:44:00.760]',-,-,-,0.274,-,73.737
'[20:44:00.768]',-,-,-,0.275,-,78.337
'[20:44:00.776]',-,-,-,0.277,-,82.830
'[20:44:00.784]',-,-,-,0.276,-,87.144
'[20:44:00.792]',-,-,-,0.276,-,91.031
'[20:44:00.800]',-,-,-,0.275,-,94.596
'[20:44:00.808]',-,-,-,0.274,-,97.770
'[20:44:00.816]',-,-,-,0.272,-,100.587
'[20:44:00.824]',-,-,-,0.270,-,102.904
'[20:44:00.832]',-,-,-,0.267,-,104.865
'[20:44:00.840]',-,-,-,0.264,-,106.470
'[20:44:00.848]',-,-,-,0.260,-,107.753
'[20:44:00.856]',-,-,-,0.257,-,108.645
'[20:44:00.864]',-,-,-,0.252,-,109.322
'[20:44:00.872]',-,-,-,0.248,-,109.786
'[20:44:00.880]',-,-,-,0.244,-,110.107
'[20:44:00.888]',-,-,-,0.240,-,110.249
'[20:44:00.896]',-,-,-,0.237,-,110.035
'[20:44:00.904]',-,-,-,0.234,-,109.572
'[20:44:00.912]',-,-,-,0.231,-,108.538
'[20:44:00.920]',-,-,-,0.229,-,107.147
'[20:44:00.928]',-,-,-,0.227,-,105.400
'[20:44:00.936]',-,-,-,0.226,-,103.510
'[20:44:00.944]',-,-,-,0.225,-,101.335
'[20:44:00.952]',-,-,-,0.224,-,99.089
'[20:44:00.960]',-,-,-,0.224,-,96.771
'[20:44:00.968]',-,-,-,0.224,-,94.168
'[20:44:00.976]',-,-,-,0.225,-,91.494
'[20:44:00.984]',-,-,-,0.226,-,88.570
'[20:44:00.992]',-,-,-,0.227,-,85.468
'[20:44:01.000]',-,-,-,0.229,-,82.544
'[20:44:01.008]',-,-,-,0.231,-,79.799
'[20:44:01.016]',-,-,-,0.234,-,77.303
'[20:44:01.024]',-,-,-,0.237,-,75.164
'[20:44:01.032]',-,-,-,0.241,-,73.309
'[20:44:01.040]',-,-,-,0.245,-,71.598
'[20:44:01.048]',-,-,-,0.249,-,70.172
'[20:44:01.056]',-,-,-,0.253,-,68.959
'[20:44:01.064]',-,-,-,0.257,-,68.032
'[20:44:01.072]',-,-,-,0.261,-,67.355
'[20:44:01.080]',-,-,-,0.265,-,66.927
'[20:44:01.088]',-,-,-,0.268,-,66.535
'[20:44:01.096]',-,-,-,0.271,-,66.249
'[20:44:01.104]',-,-,-,0.274,-,65.929
'[20:44:01.112]',-,-,-,0.276,-,65.608
'[20:44:01.120]',-,-,-,0.278,-,65.251
'[20:44:01.128]',-,-,-,0.280,-,64.930
