'Time','II','III','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'
'[09:22:28.852]',0.225,0.245,-,0.830,0.429,1.323,98.372
'[09:22:28.860]',0.220,0.250,-,0.825,0.426,1.296,94.416
'[09:22:28.868]',0.230,0.250,-,0.825,0.423,1.270,91.192
'[09:22:28.876]',0.235,0.250,-,0.835,0.421,1.244,88.310
'[09:22:28.884]',0.260,0.260,-,0.855,0.419,1.220,85.575
'[09:22:28.892]',0.300,0.290,-,0.871,0.417,1.196,83.035
'[09:22:28.900]',0.325,0.315,-,0.876,0.415,1.175,80.984
'[09:22:28.908]',0.360,0.335,-,0.881,0.414,1.156,79.616
'[09:22:28.916]',0.405,0.355,-,0.890,0.413,1.146,79.030
'[09:22:28.924]',0.430,0.365,-,0.890,0.413,1.138,79.176
'[09:22:28.932]',0.395,0.335,-,0.866,0.413,1.123,79.909
'[09:22:28.940]',0.335,0.305,-,0.825,0.416,1.103,81.032
'[09:22:28.948]',0.295,0.295,-,0.800,0.418,1.083,82.547
'[09:22:28.956]',0.275,0.295,-,0.796,0.423,1.067,84.354
'[09:22:28.964]',0.260,0.295,-,0.791,0.428,1.055,86.405
'[09:22:28.972]',0.255,0.285,-,0.786,0.435,1.052,88.506
'[09:22:28.980]',0.250,0.280,-,0.791,0.442,1.065,90.362
'[09:22:28.988]',0.255,0.285,-,0.796,0.451,1.104,91.925
'[09:22:28.996]',0.275,0.300,-,0.800,0.459,1.171,92.853
'[09:22:29.004]',0.280,0.295,-,0.800,0.467,1.268,93.195
'[09:22:29.012]',0.245,0.265,-,0.805,0.475,1.374,92.999
'[09:22:29.020]',0.175,0.205,-,0.861,0.482,1.494,92.315
'[09:22:29.028]',0.155,0.135,-,0.956,0.489,1.645,91.241
'[09:22:29.036]',0.580,0.325,-,1.060,0.495,1.812,89.873
'[09:22:29.044]',1.196,0.850,-,1.090,0.502,1.980,88.310
'[09:22:29.052]',1.321,1.126,-,0.600,0.509,2.140,86.601
'[09:22:29.060]',0.750,0.885,-,0.100,0.516,2.282,85.135
'[09:22:29.068]',0.320,0.525,-,0.049,0.521,2.400,83.670
'[09:22:29.076]',0.140,0.315,-,0.461,0.527,2.491,82.498
'[09:22:29.084]',0.135,0.265,-,0.740,0.532,2.549,81.472
'[09:22:29.092]',0.280,0.290,-,0.915,0.537,2.579,80.690
'[09:22:29.100]',0.355,0.320,-,0.995,0.539,2.583,80.104
'[09:22:29.108]',0.385,0.330,-,1.031,0.543,2.570,79.811
'[09:22:29.116]',0.395,0.325,-,1.050,0.544,2.543,79.762
'[09:22:29.124]',0.400,0.325,-,1.070,0.546,2.502,79.811
'[09:22:29.132]',0.410,0.325,-,1.090,0.545,2.452,79.860
'[09:22:29.140]',0.430,0.335,-,1.101,0.544,2.392,79.909
'[09:22:29.148]',0.450,0.350,-,1.131,0.542,2.326,80.007
'[09:22:29.156]',0.470,0.365,-,1.170,0.539,2.258,80.104
'[09:22:29.164]',0.480,0.365,-,1.201,0.535,2.190,80.104
'[09:22:29.172]',0.480,0.345,-,1.220,0.531,2.121,80.055
'[09:22:29.180]',0.490,0.345,-,1.235,0.524,2.055,79.860
'[09:22:29.188]',0.530,0.370,-,1.250,0.518,1.993,79.616
'[09:22:29.196]',0.560,0.385,-,1.286,0.506,1.941,79.372
'[09:22:29.204]',0.585,0.395,-,1.315,0.495,1.898,79.176
'[09:22:29.212]',0.635,0.415,-,1.341,0.480,1.866,79.127
'[09:22:29.220]',0.665,0.430,-,1.371,0.464,1.844,78.981
'[09:22:29.228]',0.685,0.430,-,1.385,0.448,1.828,78.883
'[09:22:29.236]',0.695,0.435,-,1.376,0.432,1.818,78.590
'[09:22:29.244]',0.700,0.430,-,1.351,0.414,1.815,78.346
'[09:22:29.252]',0.705,0.445,-,1.300,0.397,1.818,78.297
'[09:22:29.260]',0.700,0.455,-,1.250,0.374,1.824,78.590
'[09:22:29.268]',0.655,0.430,-,1.201,0.351,1.832,79.860
'[09:22:29.276]',0.590,0.390,-,1.140,0.323,1.839,83.133
'[09:22:29.284]',0.535,0.375,-,1.065,0.295,1.843,89.434
'[09:22:29.292]',0.470,0.360,-,1.005,0.262,1.841,99.544
'[09:22:29.300]',0.405,0.325,-,0.961,0.230,1.834,112.781
'[09:22:29.308]',0.360,0.315,-,0.925,0.196,1.824,127.288
'[09:22:29.316]',0.325,0.305,-,0.895,0.162,1.811,140.427
'[09:22:29.324]',0.290,0.290,-,0.876,0.131,1.795,150.049
'[09:22:29.332]',0.270,0.280,-,0.871,0.100,1.774,155.227
'[09:22:29.340]',0.265,0.280,-,0.861,0.071,1.750,156.252
'[09:22:29.348]',0.250,0.265,-,0.861,0.042,1.723,154.005
'[09:22:29.356]',0.230,0.255,-,0.866,0.021,1.698,149.805
'[09:22:29.364]',0.230,0.250,-,0.866,-0.000,1.673,144.579
'[09:22:29.372]',0.230,0.255,-,0.861,-0.000,1.648,139.010
'[09:22:29.380]',0.240,0.260,-,0.855,-0.000,1.623,133.491
'[09:22:29.388]',0.245,0.270,-,0.840,-0.000,1.599,128.265
'[09:22:29.396]',0.235,0.265,-,0.835,-0.000,1.579,123.283
'[09:22:29.404]',0.215,0.245,-,0.835,-0.000,1.560,118.740
'[09:22:29.412]',0.200,0.230,-,0.835,-0.000,1.546,114.735
'[09:22:29.420]',0.195,0.225,-,0.830,-0.000,1.534,111.218
'[09:22:29.428]',0.195,0.230,-,0.830,-0.000,1.519,108.434
'[09:22:29.436]',0.210,0.245,-,0.825,-0.000,1.505,106.138
'[09:22:29.444]',0.215,0.250,-,0.820,-0.000,1.493,103.989
'[09:22:29.452]',0.230,0.260,-,0.815,-0.000,1.480,101.742
