Time,ABP,PLETH,II
14:52:49.221,100.184,2.842,-0.166
14:52:49.229,99.549,2.858,-0.13
14:52:49.237,99.048,2.854,-0.086
14:52:49.245,98.552,2.835,-0.075
14:52:49.253,98.051,2.805,-0.1
14:52:49.261,97.619,2.767,-0.095
14:52:49.269,97.048,2.72,-0.126
14:52:49.277,96.483,2.667,-0.095
14:52:49.285,95.867,2.607,-0.1
14:52:49.293,95.232,2.542,-0.075
14:52:49.301,94.552,2.472,-0.095
14:52:49.309,93.873,2.404,-0.055
14:52:49.317,93.187,2.339,-0.09
14:52:49.325,92.483,2.281,-0.07
14:52:49.333,91.803,2.232,-0.075
14:52:49.341,91.238,2.195,-0.05
14:52:49.349,90.667,2.171,-0.061
14:52:49.357,90.171,2.156,0.105
14:52:49.365,89.67,2.15,0.53
14:52:49.373,89.238,2.15,1.075
14:52:49.381,88.806,2.155,1.501
14:52:49.389,88.375,2.163,1.501
14:52:49.397,87.987,2.171,1.501
14:52:49.405,87.625,2.177,1.13
14:52:49.413,87.308,2.178,0.32
14:52:49.421,86.99,2.175,-0.045
14:52:49.429,86.806,2.168,-0.135
14:52:49.437,86.673,2.158,-0.16
14:52:49.445,86.629,2.144,-0.155
14:52:49.453,86.629,2.127,-0.211
14:52:49.461,86.629,2.109,-0.196
14:52:49.469,86.673,2.085,-0.216
14:52:49.477,86.673,2.059,-0.191
14:52:49.485,86.629,2.033,-0.211
14:52:49.493,86.419,2.009,-0.191
14:52:49.501,86.127,1.983,-0.205
14:52:49.509,85.74,1.957,-0.18
14:52:49.517,85.238,1.932,-0.191
14:52:49.525,84.743,1.908,-0.16
14:52:49.533,84.171,1.886,-0.171
14:52:49.541,83.625,1.862,-0.151
14:52:49.549,83.105,1.841,-0.166
14:52:49.557,82.559,1.822,-0.14
14:52:49.565,82.057,1.804,-0.146
14:52:49.573,81.562,1.784,-0.12
14:52:49.581,81.175,1.761,-0.13
14:52:49.589,80.927,1.739,-0.1
14:52:49.597,80.673,1.716,-0.11
14:52:49.605,80.425,1.695,-0.095
14:52:49.613,80.178,1.672,-0.095
14:52:49.621,79.86,1.646,-0.065
14:52:49.629,79.606,1.623,-0.05
14:52:49.637,79.429,1.599,-0.055
14:52:49.645,79.359,1.576,-0.0
14:52:49.653,79.429,1.555,-0.015
14:52:49.661,79.562,1.539,0.04
14:52:49.669,79.676,1.522,0.02
14:52:49.677,79.81,1.506,0.06
14:52:49.685,79.924,1.491,0.044
14:52:49.693,80.178,1.475,0.07
14:52:49.701,80.813,1.462,0.05
14:52:49.709,82.241,1.451,0.065
14:52:49.717,85.175,1.44,0.03
14:52:49.725,90.419,1.431,0.035
14:52:49.733,98.368,1.423,-0.03
14:52:49.741,108.495,1.413,-0.025
14:52:49.749,119.74,1.404,-0.09
14:52:49.757,130.622,1.397,-0.095
14:52:49.765,139.867,1.391,-0.126
14:52:49.773,146.679,1.384,-0.13
14:52:49.781,150.495,1.378,-0.151
14:52:49.789,151.175,1.371,-0.146
14:52:49.797,149.314,1.364,-0.166
14:52:49.805,145.562,1.358,-0.146
14:52:49.813,140.863,1.351,-0.166
14:52:49.821,136.0,1.341,-0.13
14:52:49.829,131.257,1.328,-0.151
14:52:49.837,126.737,1.318,-0.146
14:52:49.845,122.375,1.308,-0.135
14:52:49.853,118.311,1.301,-0.151
14:52:49.861,114.425,1.296,-0.12
14:52:49.869,110.813,1.291,-0.14
14:52:49.877,107.429,1.286,-0.12
14:52:49.885,104.248,1.282,-0.14
14:52:49.893,101.187,1.277,-0.12
14:52:49.901,98.438,1.271,-0.135
14:52:49.909,96.298,1.263,-0.115
14:52:49.917,95.232,1.254,-0.135
14:52:49.925,95.302,1.247,-0.115
14:52:49.933,96.483,1.239,-0.14
14:52:49.941,98.483,1.23,-0.126
14:52:49.949,100.863,1.224,-0.146
14:52:49.957,103.295,1.225,-0.11
14:52:49.965,105.365,1.237,-0.14
14:52:49.973,106.997,1.263,-0.12
14:52:49.981,108.114,1.307,-0.14
14:52:49.989,108.61,1.375,-0.115
14:52:49.997,108.495,1.474,-0.14
14:52:50.005,107.86,1.601,-0.12
14:52:50.013,106.819,1.751,-0.115
14:52:50.021,105.498,1.916,-0.126
14:52:50.029,104.044,2.088,-0.115
14:52:50.037,102.749,2.254,-0.126
14:52:50.045,101.505,2.404,-0.11
14:52:50.053,100.432,2.517,-0.16
14:52:50.061,99.505,2.6,-0.196
14:52:50.069,98.686,2.671,-0.205
