Time,ABP,PLETH,II
15:26:41.144,78.307,2.267,0.475
15:26:41.152,77.721,2.265,0.63
15:26:41.160,77.193,2.258,0.595
15:26:41.168,76.666,2.248,0.46
15:26:41.176,76.197,2.237,0.345
15:26:41.184,75.669,2.225,0.335
15:26:41.192,75.2,2.21,0.33
15:26:41.200,74.79,2.193,0.32
15:26:41.208,74.438,2.178,0.315
15:26:41.216,74.028,2.164,0.32
15:26:41.224,73.676,2.152,0.325
15:26:41.232,73.325,2.142,0.33
15:26:41.240,72.914,2.134,0.325
15:26:41.248,72.504,2.123,0.33
15:26:41.256,72.035,2.115,0.33
15:26:41.264,71.625,2.105,0.335
15:26:41.272,71.097,2.094,0.33
15:26:41.280,70.629,2.085,0.335
15:26:41.288,70.101,2.074,0.33
15:26:41.296,69.573,2.065,0.34
15:26:41.304,68.987,2.062,0.33
15:26:41.312,68.343,2.056,0.345
15:26:41.320,67.874,2.047,0.34
15:26:41.328,67.346,2.039,0.345
15:26:41.336,66.936,2.029,0.34
15:26:41.344,66.467,2.019,0.35
15:26:41.352,66.174,2.01,0.34
15:26:41.360,66.115,1.999,0.355
15:26:41.368,66.584,1.987,0.355
15:26:41.376,68.401,1.972,0.365
15:26:41.384,72.27,1.952,0.365
15:26:41.392,78.541,1.93,0.37
15:26:41.400,86.63,1.909,0.375
15:26:41.408,95.011,1.89,0.39
15:26:41.416,102.221,1.873,0.4
15:26:41.424,107.789,1.865,0.41
15:26:41.432,111.716,1.857,0.42
15:26:41.440,114.764,1.848,0.415
15:26:41.448,117.167,1.837,0.445
15:26:41.456,119.277,1.825,0.445
15:26:41.464,121.387,1.812,0.455
15:26:41.472,123.556,1.801,0.445
15:26:41.480,125.666,1.792,0.45
15:26:41.488,127.659,1.787,0.44
15:26:41.496,129.3,1.782,0.445
15:26:41.504,130.472,1.776,0.43
15:26:41.512,131.293,1.773,0.425
15:26:41.520,131.938,1.768,0.405
15:26:41.528,132.348,1.766,0.4
15:26:41.536,132.817,1.771,0.39
15:26:41.544,133.227,1.777,0.39
15:26:41.552,133.696,1.78,0.375
15:26:41.560,134.106,1.781,0.38
15:26:41.568,134.341,1.782,0.375
15:26:41.576,134.517,1.779,0.385
15:26:41.584,134.223,1.771,0.38
15:26:41.592,133.637,1.761,0.39
15:26:41.600,132.641,1.75,0.385
15:26:41.608,131.176,1.738,0.395
15:26:41.616,129.241,1.726,0.4
15:26:41.624,126.78,1.72,0.405
15:26:41.632,123.673,1.72,0.41
15:26:41.640,119.981,1.72,0.405
15:26:41.648,115.585,1.723,0.425
15:26:41.656,110.778,1.731,0.415
15:26:41.664,105.855,1.741,0.425
15:26:41.672,101.166,1.756,0.42
15:26:41.680,97.473,1.772,0.425
15:26:41.688,95.129,1.79,0.415
15:26:41.696,94.132,1.807,0.425
15:26:41.704,94.015,1.826,0.41
15:26:41.712,94.308,1.848,0.415
15:26:41.720,94.484,1.868,0.405
15:26:41.728,94.425,1.885,0.415
15:26:41.736,94.015,1.902,0.41
15:26:41.744,93.253,1.924,0.42
15:26:41.752,92.315,1.946,0.425
15:26:41.760,91.377,1.971,0.46
15:26:41.768,90.44,1.995,0.47
15:26:41.776,89.795,2.02,0.49
15:26:41.784,89.326,2.048,0.49
15:26:41.792,88.974,2.077,0.495
15:26:41.800,88.74,2.105,0.465
15:26:41.808,88.447,2.131,0.485
15:26:41.816,87.919,2.153,0.49
15:26:41.824,87.275,2.171,0.46
15:26:41.832,86.571,2.183,0.43
15:26:41.840,85.692,2.192,0.405
15:26:41.848,84.696,2.202,0.39
15:26:41.856,83.699,2.214,0.375
15:26:41.864,82.644,2.226,0.365
15:26:41.872,81.824,2.239,0.36
15:26:41.880,80.944,2.251,0.365
15:26:41.888,80.182,2.257,0.36
15:26:41.896,79.479,2.26,0.38
15:26:41.904,78.834,2.262,0.395
15:26:41.912,78.248,2.256,0.455
15:26:41.920,77.662,2.247,0.6
15:26:41.928,77.135,2.237,0.635
15:26:41.936,76.548,2.225,0.485
15:26:41.944,75.962,2.213,0.34
15:26:41.952,75.552,2.2,0.32
15:26:41.960,75.083,2.188,0.34
15:26:41.968,74.731,2.179,0.315
15:26:41.976,74.38,2.171,0.325
15:26:41.984,73.969,2.161,0.32
15:26:41.992,73.618,2.15,0.325
15:26:42.000,73.207,2.141,0.33
15:26:42.008,72.797,2.13,0.325
15:26:42.016,72.387,2.118,0.33
15:26:42.024,71.918,2.112,0.335
15:26:42.032,71.508,2.109,0.34
15:26:42.040,70.98,2.105,0.335
15:26:42.048,70.511,2.097,0.35
15:26:42.056,69.984,2.086,0.34
15:26:42.064,69.398,2.074,0.345
15:26:42.072,68.87,2.063,0.335
15:26:42.080,68.284,2.05,0.345
15:26:42.088,67.815,2.041,0.34
15:26:42.096,67.288,2.03,0.35
15:26:42.104,66.877,2.019,0.345
15:26:42.112,66.408,2.013,0.35
15:26:42.120,66.115,2.01,0.35
15:26:42.128,65.939,2.009,0.36
15:26:42.136,66.233,2.002,0.355
15:26:42.144,67.756,1.992,0.365
15:26:42.152,71.097,1.98,0.36
