Time,ABP,PLETH,II
19:08:19.912,63.058,2.594,0.565
19:08:19.920,62.716,2.56,0.58
19:08:19.928,62.374,2.53,0.59
19:08:19.936,62.032,2.5,0.595
19:08:19.944,61.739,2.469,0.6
19:08:19.952,61.495,2.435,0.585
19:08:19.960,61.153,2.399,0.6
19:08:19.968,60.86,2.364,0.61
19:08:19.976,60.616,2.334,0.615
19:08:19.984,60.322,2.308,0.62
19:08:19.992,59.981,2.283,0.625
19:08:20.000,59.736,2.259,0.62
19:08:20.008,59.443,2.233,0.625
19:08:20.016,59.053,2.205,0.635
19:08:20.024,58.759,2.178,0.65
19:08:20.032,58.418,2.151,0.645
19:08:20.040,58.124,2.122,0.66
19:08:20.048,57.929,2.094,0.67
19:08:20.056,58.027,2.068,0.685
19:08:20.064,59.053,2.046,0.695
19:08:20.072,61.788,2.025,0.72
19:08:20.080,67.063,2.008,0.74
19:08:20.088,74.634,1.992,0.77
19:08:20.096,83.23,1.975,0.795
19:08:20.104,90.85,1.957,0.83
19:08:20.112,96.369,1.938,0.85
19:08:20.120,99.691,1.92,0.87
19:08:20.128,101.547,1.898,0.875
19:08:20.136,102.377,1.876,0.87
19:08:20.144,102.426,1.851,0.855
19:08:20.152,102.133,1.82,0.84
19:08:20.160,102.133,1.793,0.785
19:08:20.168,103.061,1.772,0.72
19:08:20.176,105.161,1.758,0.65
19:08:20.184,107.75,1.745,0.59
19:08:20.192,109.997,1.732,0.54
19:08:20.200,111.413,1.72,0.525
19:08:20.208,111.951,1.711,0.5
19:08:20.216,111.804,1.701,0.49
19:08:20.224,111.12,1.689,0.475
19:08:20.232,109.997,1.675,0.465
19:08:20.240,108.483,1.66,0.47
19:08:20.248,106.627,1.642,0.47
19:08:20.256,104.673,1.624,0.475
19:08:20.264,102.719,1.605,0.47
19:08:20.272,100.863,1.589,0.475
19:08:20.280,99.007,1.577,0.47
19:08:20.288,97.2,1.565,0.485
19:08:20.296,95.344,1.552,0.47
19:08:20.304,93.634,1.54,0.48
19:08:20.312,91.973,1.526,0.465
19:08:20.320,90.313,1.514,0.48
19:08:20.328,88.701,1.503,0.465
19:08:20.336,87.236,1.494,0.46
19:08:20.344,86.112,1.487,0.46
19:08:20.352,85.233,1.485,0.46
19:08:20.360,84.696,1.494,0.46
19:08:20.368,84.256,1.514,0.455
19:08:20.376,83.816,1.542,0.46
19:08:20.384,83.279,1.579,0.455
19:08:20.392,82.791,1.632,0.46
19:08:20.400,82.156,1.697,0.455
19:08:20.408,81.472,1.768,0.46
19:08:20.416,80.788,1.849,0.455
19:08:20.424,80.104,1.935,0.46
19:08:20.432,79.421,2.019,0.46
19:08:20.440,78.737,2.104,0.465
19:08:20.448,78.102,2.189,0.46
19:08:20.456,77.564,2.271,0.535
19:08:20.464,77.125,2.352,0.56
19:08:20.472,76.636,2.432,0.57
19:08:20.480,76.099,2.5,0.61
19:08:20.488,75.611,2.561,0.62
